@@,itemlabel,item,startdate,enddate
+++,Aristóbulo Reyes,,1950-10-06,1952-12-22
->,Carlos A. Garzoni->Carlos Garzoni,Q104471047,1952-12-23,1954-12-31
->,Francisco A. Imaz->Francisco Antonio Imaz,Q22237868,1956-10-18,1956-12-06
+++,Vicente Baroja,,1958-07-24,1959-07-23
+++,Juan Bautista Picca,,1959-08-01,1963-01-20
+++,Carlos Bertoglio,,1963-01-21,1965-12-31
->,Carlos Coda->Carlos Guido Natal Coda,Q5750056,1965-12-31,1966-12-21
+++,Jorge Alberto Boffi,,1966-12-28,1967-12-22
+++,José Jaime Toscano,,1967-12-22,1969-11-13
+++,Ricardo Salas,,1969-12-15,1970-12-16
+++,Pablo Arati,,1973-06-12,1973-12-07
+++,Luis Betti,,1973-12-27,1974-12-29
+++,Ernesto Della Croce,,1974-12-30,1975-05-21
->,Horacio Liendo->Horacio Tomás Liendo,Q5901921,1980-01-02,1981-03-29
->,Emilio Osses->Emilio José Osses,Q97695831,1989-07-12,1992-08-13
---,José Luis Villán,Q46155959,2017-05-04,2018-04-13
