item,itemLabel,startDate,endDate,sourceDate,psid
Q89369863,Juan Carlos Mugnolo,1999-12-10,2003-05-20,,Q89369863-5923C3FB-A14D-46A3-B52B-D25C9AABB114
Q89366518,Jorge Alberto Chevalier,2003-05-20,2013-06-26,,Q89366518-17252969-FCF5-4D6D-9FEA-6E0F5182CD09
Q89370983,Luis María Carena,2013-06-26,2016-01-26,,Q89370983-9BB688F9-8511-4B58-B960-85FFB4C6A03A
Q22252165,Bari del Valle Sosa,2016-01-26,2020-02-27,,Q22252165-8DF99598-0D85-4284-8086-2A149C0E1611
Q46155959,José Luis Villán,2017-05-04,2018-04-13,,Q46155959-cd563883-4320-22af-2a59-5bf02cc51647
Q86466895,Juan Martín Paleo,2020-02-27,,,Q86466895-5B854352-F526-41A7-875E-AB5270419E98
