item,itemLabel,startDate,endDate,psid
Q1394085,Martín Miguel de Güemes,1815-05-06,1821-04-24,Q1394085-d70eebeb-44ec-259e-0965-0e1ca73bdd95
Q21002940,Gustavo Sáenz,2019-12-10,,Q21002940-89e19804-4e66-ff0c-8c9a-f5de5b80b38e
Q4122243,Juan Manuel Urtubey,2007-12-10,2019-12-10,Q4122243-030E5103-F2FC-4CCA-864F-2ACD368A5E52
Q6110034,Roberto Ulloa,1991-12-10,1995-12-10,Q6110034-186138CB-FBB6-4E6B-BFDC-E010AA0D2958
Q6299395,Juan Carlos Romero,1995-12-10,2007-12-09,Q6299395-44c1cdc1-47ef-db39-cef9-7799c5aedffc
Q7351882,Roberto Romero,1983-12-10,1987-12-10,Q7351882-224EBCB9-33A2-485F-86FA-5852991B43B8
