@@,itemlabel,item,startdate,enddate
+++,Manuel Menchaca,Q5666639,1912-05-09,1916-05-09
+++,Rodolfo Lehmann,Q6110540,1916-05-09,1920-02-26
+++,Juan Cepeda,Q5948753,1919-12-01,1920-02-26
+++,Juan Cepeda,Q5948753,1920-02-26,1920-05-09
+++,Enrique Mosca,Q5379768,1920-05-09,1924-05-09
+++,Ricardo Aldao,Q6107976,1924-05-09,1928-05-09
+++,Pedro Gómez Cello,Q6069052,1928-05-09,1930-09-07
+++,Rodolfo Márquez,,1930-09-07,1930-09-26
+++,Diego Saavedra,,1930-09-26,1930-12-22
+++,Guillermo Rothe,Q5888898,1930-12-22,1931-04-29
+++,Alberto Arancibia Rodríguez,Q5662756,1931-04-29,1932-01-14
+++,Juan E. Garro Allende,,1932-01-14,1932-02-20
+++,Luciano Molinas,Q2839406,1932-02-20,1935-10-04
+++,Julio C. Costa,,1935-10-04,1935-10-07
+++,Manuel Ramón Alvarado,Q5994167,1935-10-07,1936-01-09
+++,Carlos Bruchmann,Q18755715,1936-01-09,1937-04-10
+++,Manuel María de Iriondo,Q5993711,1937-04-10,1941-04-10
+++,Joaquín Argonz,Q5931725,1941-04-10,1943-06-04
+++,Benito Oiz,,1943-06-04,1943-06-26
+++,Julio Cárrega,,1943-06-26,1943-11-18
+++,Manuel Argüelles,,1943-11-18,1944-07-16
+++,Arturo Saavedra,Q5707483,1944-07-16,1945-03-14
+++,Oscar Alfonso Aldrey,,1945-03-14,1946-06-16
+++,Waldino Suárez,Q5391465,1946-06-16,1949-02-08
+++,Dalmiro J. Adaro,Q5797687,1949-02-08,1949-06-04
+++,Juan Hugo Caesar,Q5949966,1949-06-04,1952-06-04
+++,Luis Cárcamo,Q5983161,1952-06-04,1955-02-28
+++,Ricardo P. Anzorena,,1955-02-28,1955-09-22
+++,Juan Bautista Picca,,1955-09-22,1955-09-29
+++,Carlos A. Garzoni,Q104471047,1955-09-29,1957-04-10
+++,Clodomiro E. Carranza,,1957-04-10,1958-05-01
+++,Carlos Sylvestre Begnis,Q5042686,1958-05-01,1962-04-23
+++,Ernesto Víctor Cordes,,1962-04-23,1962-06-11
+++,Jorge G. Nocetti Campos,,1962-06-11,1963-10-12
+++,Aldo Tessio,Q8193951,1963-10-12,1966-06-28
+++,Eleodoro Sánchez Lahoz,,1966-06-28,1966-07-22
+++,Eladio Modesto Vázquez,Q5827305,1966-07-22,1970-07-14
+++,Roberto Aníbal Fonseca,,1970-07-14,1970-07-24
+++,General de División,Q2487961,1970-07-24,1973-05-25
+++,Carlos Sylvestre Begnis,Q5042686,1973-05-25,1976-03-24
+++,José María González,,1976-03-24,1976-04-14
+++,Jorge Aníbal Desimoni,Q20015550,1976-04-14,1981-03-29
+++,Rodolfo Luchetta,Q104688435,1981-03-29,1982-01-13
+++,Roberto Enrique Casís,Q107003384,1982-01-13,1983-02-24
+++,Héctor Salvi,,1983-02-24,1983-12-11
+++,José María Vernet,Q6293351,1983-12-11,1987-12-11
+++,Víctor Reviglio,Q6165710,1987-12-11,1991-12-11
+++,Carlos Reutemann,Q173238,1991-12-11,1995-12-11
+++,Jorge Obeid,Q6278403,1995-12-11,1999-12-11
+++,Carlos Reutemann,Q173238,1999-12-11,2003-12-11
+++,Jorge Obeid,Q6278403,2003-12-11,2007-12-11
+++,Hermes Binner,Q981624,2007-12-11,2011-12-11
+++,Antonio Bonfatti,Q4776459,2011-12-11,2015-12-11
