@@,name,position
->,Lic. Santiago Andrés CAFIERO,"Jefatura de Gabinete de Ministros->Ministerio de Relaciones Exteriores, Comercio Internacional y Culto"
->,Ing. Agr. Luis Eugenio BASTERRA->Dr. Julián Andrés DOMÍNGUEZ,"Ministerio de Agricultura, Ganadería y Pesca"
->,Dra. Sabina Andrea FREDERIC->Dr. Aníbal Domingo FERNÁNDEZ,Ministerio de Seguridad
->,Dr. Roberto Carlos SALVAREZZA->Lic. Daniel Fernando FILMUS,"Ministerio de Ciencia, Tecnología e Innovación"
->,Dr. Nicolás Alfredo TROTTA->Lic. Jaime PERCZYK,Ministerio de Educación
---,Ing. Agr. Felipe Carlos SOLÁ,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto"
+++,Dr. Juan Luis MANZUR,Jefatura de Gabinete de Ministros
