@@,item,name,party,partylabel,region,regionlabel,startdate,enddate
+++,Q105681968,Adriana Cintia Cáceres,Q1507720,Pro,Q44754,Buenos Aires,2020-02-26,2021-12-09
---,Q21856218,Adriana Mónica Nazario,Q21044814,United for a New Alternative,Q44759,Córdoba Province,2015-12-10,
+++,,Adriana Noemí Ruarte,Q1507720,Pro,Q44759,Córdoba,2019-12-10,
---,Q21856149,Adrián Eduardo Grana,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,
---,Q19006869,Agustín Rossi,Q3753652,Justicialist Front,Q44823,Santa Fe Province,2017-12-10,
---,Q20667914,Alberto Ciampini,Q1072438,Front for Victory,Q44800,Neuquén Province,2015-12-10,
+++,Q87726411,Alberto Emilio Asseff,Q1507720,Pro,Q44754,Buenos Aires,2019-12-10,
->,Q23411111,Albor Cantard->Albor Ángel Cantard,Q20749344->Q123585,Cambiemos->Unión Cívica Radical,Q44823,Santa Fe Province->Santa Fe,2017-12-10,NULL->2021-12-09
+++,Q100156038,Alcira Elsa Figueroa,Q64590596,Frente de Todos,Q44803,Salta,2020-10-07,2021-12-09
+++,Q108305550,Aldo Adolfo Leiva,Q64590596,Frente de Todos,Q44757,Chaco,2019-12-10,
->,Q47142712,Alejandra María Vigo,Q4732336->Q62062803,Union for Córdoba->Córdoba Federal,Q44759,Córdoba Province->Córdoba,2017-12-10,2021-12-10->2021-12-09
---,Q33296854,Alejandra Rodenas,Q3753652,Justicialist Front,Q44823,Santa Fe Province,2017-12-10,
+++,,Alejandra del Huerto Obeid,Q64590596,Frente de Todos,Q44823,Santa Fe,2019-12-10,
---,Q21856150,Alejandro Ariel Grandinetti,Q15120034,Renewal Front,Q44823,Santa Fe Province,2015-12-10,
+++,Q104906639,Alejandro Cacace,Q123585,Unión Cívica Radical,Q44818,San Luis,2019-12-10,
+++,,Alejandro Daniel Bermejo,Q64590596,Frente de Todos,Q44797,Mendoza,2019-12-10,2021-03-03
---,Q21856122,Alejandro Echegaray,Q123585,Radical Civic Union,Q44754,Buenos Aires Province,2015-12-10,
---,Q30905503,Alejandro Finocchiaro,,,,,2021-12-10,
---,Q21856277,Alejandro Francisco Snopek,Q15120034,Renewal Front,Q44764,Province of Jujuy,2015-12-10,
+++,,Alejandro García,Q1507720,Pro,Q1486,Ciudad de Buenos Aires,2017-12-10,2021-12-09
---,Q5665422,Alejandro Ramos,Q1072438,Front for Victory,Q44823,Santa Fe Province,2015-12-10,
---,Q62118467,Alejandro Vilca,,,Q44764,Province of Jujuy,2021-12-10,
+++,Q98770550,Alejandro «Topo» Rodríguez,Q96754376,Consenso Federal,Q44754,Buenos Aires,2019-12-10,
->,Q5668101,Alfredo Cornejo->Alfredo Víctor Cornejo Neila,NULL->Q123585,NULL->Unión Cívica Radical,Q44797,Mendoza,2019-12-10,2021-12-10
---,Q20012995,Alfredo Olmedo,Q41556881,,Q44803,Salta Province,2015-12-10,
+++,,Alfredo Oscar Schiavoni,Q1507720,Pro,Q44798,Misiones,2019-12-10,
---,Q47143052,Alicia Fregonese,Q20749344,Cambiemos,Q44762,Entre Ríos Province,2017-12-10,
+++,,Alicia María Fregonese,Q1507720,Pro,Q44762,Entre Ríos,2017-12-10,2021-12-09
+++,Q76824320,Alicia Noemí Aparicio,Q64590596,Frente de Todos,Q44754,Buenos Aires,2019-12-10,
->,Q5668850,Alicia Terada,Q47117734->Q1104292,Alianza Cambiemos->Coalición Cívica,Q44757,Chaco Province->Chaco,2017-12-10,NULL->2021-12-09
->,Q47144879,Alma Sapag->Alma Liliana Sapag,Q7002024,Neuquén People's Movement->Movimiento Popular Neuquino,Q44800,Neuquén Province->Neuquén,2017-12-10,NULL->2021-12-09
+++,Q21856142,Ana Carolina Gaillard,Q64590596,Frente de Todos,Q44762,Entre Ríos,2019-12-19,2021-12-09
---,Q21856175,Ana Llanos,Q1072438,Front for Victory,Q45007,Chubut Province,2015-12-10,
---,Q21856157,Anabella Ruth Hers Cabral,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,
---,Q21856066,Analuz Ailen Carol,Q1072438,Front for Victory,Q44832,"Tierra del Fuego, Antarctica and South Atlantic Islands province",2015-12-10,
---,Q47455149,Andres Alberto Vallone,,,,,2017-12-09,
->,Q5667299,Andrés Larroque,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q1486->Q44754,Buenos Aires,2015-12-10->2019-12-10,NULL->2020-05-01
->,Q19601030,Andrés Zottos->Miguel Andrés Costas Zottos,Q47146828,,Q44803,Salta Province->Salta,2017-12-10,NULL->2021-12-09
->,Q47145158,Antonio José Carambia,Q47109540,,Q44821,Santa Cruz Province->Santa Cruz,2017-12-10,NULL->2021-12-09
->,Q47143222,Ariel Rauschenberger,Q1053668->Q64590596,Justicialist Party->Frente de Todos,Q44795,La Pampa,2017-12-10,NULL->2021-12-09
