item,name,region,regionLabel,party,partyLabel,startDate,endDate
Q47142019,Juan José Miguel Aicega,Q44754,Buenos Aires,Q1507720,Pro,2017-12-10,2021-12-09
Q81549870,Juan Carlos Alderete,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-19,
Q5791547,María Cristina Álvarez Rodríguez,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,2021-09-21
Q108109574,Pablo Miguel Ansaloni,Q44754,Buenos Aires,,Unidad y Equidad Federal,2017-12-10,2021-12-09
Q76824320,Alicia Noemí Aparicio,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q87726411,Alberto Emilio Asseff,Q44754,Buenos Aires,Q1507720,Pro,2019-12-10,
Q21856053,Karina Verónica Banfi,Q44754,Buenos Aires,Q123585,Unión Cívica Radical,2019-12-10,
Q17477925,Miguel Ángel Bazze,Q44754,Buenos Aires,Q123585,Unión Cívica Radical,2019-12-10,
,Hernán Berisso,Q44754,Buenos Aires,Q1507720,Pro,2017-12-10,2021-12-09
Q16297772,Claudia Alicia Bernazza,Q44754,Buenos Aires,Q64590596,Frente de Todos,2020-05-13,2021-12-09
,Lisandro Bormioli,Q44754,Buenos Aires,Q64590596,Frente de Todos,2020-05-13,
Q47142127,Eduardo Bucca,Q44754,Buenos Aires,Q64590596,Frente de Todos,2017-12-10,2021-12-09
Q105681968,Adriana Cintia Cáceres,Q44754,Buenos Aires,Q1507720,Pro,2020-02-26,2021-12-09
Q5883959,Graciela Camaño,Q44754,Buenos Aires,Q96754376,Consenso Federal,2019-12-10,
Q47141983,María Marcela Campagnoli,Q44754,Buenos Aires,Q1104292,Coalición Cívica,2017-12-10,2021-12-09
,Javier Campos,Q44754,Buenos Aires,Q1104292,Coalición Cívica,2017-12-10,2021-12-09
Q47142315,Jorge Walter Correa,Q44754,Buenos Aires,Q64590596,Frente de Todos,2017-12-10,2021-12-09
Q99358480,Camila Crescimbeni,Q44754,Buenos Aires,Q1507720,Pro,2019-12-10,
Q5649262,José Ignacio de Mendiguren,Q44754,Buenos Aires,Q64590596,Frente de Todos,2017-12-10,2021-12-09
Q15702157,Nicolás del Caño,Q44754,Buenos Aires,Q7551801,PTSFrente de Izquierda,2017-12-10,2021-06-10
Q43078686,Romina del Plá,Q44754,Buenos Aires,Q598744,Frente de Izquierda y de los Trabajadores,2017-12-10,2020-12-10
Q96625184,Federico Fagioli,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-19,
Q47142057,Ezequiel Martín Fernández Langan,Q44754,Buenos Aires,Q1507720,Pro,2017-12-10,2021-12-09
Q47451468,Carlos Alberto Fernández,Q44754,Buenos Aires,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
,Héctor Oscar Fernández,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-19,2021-12-09
Q17634375,Héctor Flores,Q44754,Buenos Aires,Q1104292,Coalición Cívica,2017-12-10,2021-12-09
,Mónica Edith Frade,Q44754,Buenos Aires,Q1104292,Coalición Cívica,2019-12-10,
,Raúl Sebastián García De Luca,Q44754,Buenos Aires,Q1507720,Pro,2019-12-10,
Q20090781,Juan Carlos Giordano,Q44754,Buenos Aires,Q11684178,Izquierda SocialistaFrente de Izquierda,2020-12-10,2021-12-09
Q21856151,Leonardo Grosso,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,Carlos Ramiro Gutiérrez,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,María de las Mercedes Joury,Q44754,Buenos Aires,Q1507720,Pro,2019-12-10,
Q15719117,Máximo Carlos Kirchner,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,Marcelo Koenig,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-19,2021-12-09
,Florencia Lampreabe,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q5667299,Andrés Larroque,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,2020-05-01
,María Jimena López,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-19,
Q21856177,Silvia Gabriela Lospennato,Q44754,Buenos Aires,Q1507720,Pro,2019-12-10,
Q47142291,Mónica Fernanda Macha,Q44754,Buenos Aires,Q64590596,Frente de Todos,2017-12-10,2021-12-09
Q108324373,María Rosa Martínez,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q3479675,Sergio Tomás Massa,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,Martín Nicolás Medina,Q44754,Buenos Aires,Q1507720,Pro,2017-12-10,2021-12-09
Q47142035,Josefina Mendoza,Q44754,Buenos Aires,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q21856214,Cecilia Moreau,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q5973474,Leopoldo Raúl Guido Moreau,Q44754,Buenos Aires,Q64590596,Frente de Todos,2017-12-10,2021-12-09
Q16566094,Juan Facundo Moyano,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,2021-08-16
Q5591576,María Graciela Ocaña,Q44754,Buenos Aires,Q1507720,Pro,2017-12-10,2021-12-09
