item,name,party,partyLabel,region,regionLabel,startDate,endDate,gender,psid
Q110389891,Carlos Alberto Fernández,,,Q44798,Misiones Province,2021-12-16,,male,Q110389891-3dad85b4-42ed-da50-9267-5148efa9f9ed
Q110561315,Paula Omodeo,,,Q44829,Tucumán Province,2021-12-10,,female,Q110561315-671c85e2-4543-6ef5-3324-3af245ecee4c
Q11682640,Hugo Yasky,Q30841057,Citizen's Unity,Q44754,Buenos Aires Province,2017-12-10,,male,Q11682640-4AA1EAE0-9BED-400D-9E45-11B61C323C64
Q1280001,Luis Juez,,,Q44759,Córdoba Province,2019-12-10,2021-12-10,male,Q1280001-1aff335c-487c-935c-00f6-08cf21bb7bbb
Q1403237,Felipe Solá,Q34692011,1País,Q44754,Buenos Aires Province,2017-12-10,,male,Q1403237-5CD988B8-6282-4017-A355-5AB934CC4E18
Q15702157,Nicolás del Caño,Q598744,FIT,Q44754,Buenos Aires Province,2017-12-10,,male,Q15702157-A8198931-8E20-4679-9001-E035FDD5999D
Q15714680,Pablo Kosiner,Q1053668,Justicialist Party,Q44803,Salta Province,2015-12-10,,male,Q15714680-4E67E338-0E85-4F86-8400-7AFE938C84EA
Q15719117,Máximo Kirchner,Q1072438,Front for Victory,Q44821,Santa Cruz Province,2015-12-10,,male,Q15719117-00141ECD-E514-4FF5-B0D2-044F0D6B10DF
Q16142825,Norma Abdala de Matarazzo,Q3088428,Civic Front for Santiago,Q44827,Santiago del Estero Province,2017-12-10,,female,Q16142825-9AE269C6-4D63-47E9-8CEE-657C82BF33BF
Q16297772,Claudia Alicia Bernazza,Q64590596,Frente de Todos,Q44754,Buenos Aires Province,2020-05-13,,female,Q16297772-d0d23a2d-487f-2a6b-387a-6c7208056e8e
Q16300926,Josefina González,Q3753652,Justicialist Front,Q44823,Santa Fe Province,2017-12-10,,female,Q16300926-4E256B7B-47A2-4E76-AB63-93C90A5D3A18
Q16301672,Mario Negri,Q123585,Radical Civic Union,Q44759,Córdoba Province,2015-12-10,,male,Q16301672-567D21B1-A7F1-451B-9E2A-EFF754CE8599
Q16566094,Facundo Moyano,Q15120034,Renewal Front,Q44754,Buenos Aires Province,2015-12-10,,male,Q16566094-0990D551-2A27-4519-AA5D-030E94F4704C
Q17477925,Miguel Ángel Bazze,Q123585,Radical Civic Union,Q44754,Buenos Aires Province,2015-12-10,,male,Q17477925-662D5E37-0357-444B-9A02-2C3099534535
Q17624215,Pablo Tonelli,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,,male,Q17624215-79720F70-A1F3-4332-A9B4-A0F32D15EB30
Q17634375,Héctor Flores,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,2021-12-10,male,Q17634375-08366487-2172-4BB9-AA88-284CB1474704
Q18224934,Cornelia Schmidt-Liermann,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,,female,Q18224934-C60052EE-846F-4CF0-8074-440324A5D277
Q19006869,Agustín Rossi,Q3753652,Justicialist Front,Q44823,Santa Fe Province,2017-12-10,,male,Q19006869-886C13CA-061F-438B-B3E2-5DF19A1DD3D2
Q19521806,Daniel Gollán,,,,,2021-12-10,,male,Q19521806-afa52f9c-47b6-62c1-6351-1b9e9b85547e
Q19601030,Andrés Zottos,Q47146828,,Q44803,Salta Province,2017-12-10,,male,Q19601030-B3175091-35C4-47BB-BB5B-B382308FE314
Q19897814,Eduardo  Cáceres,Q47146427,,Q44805,San Juan Province,2017-12-10,,male,Q19897814-B237767E-3CC4-4DFD-8BB0-C15925509E83
Q20012995,Alfredo Olmedo,Q41556881,,Q44803,Salta Province,2015-12-10,,male,Q20012995-37B5CD58-555D-4DF7-8DC9-46ABAC9ABEF9
Q20016052,Mirta Tundis,Q34692011,1País,Q44754,Buenos Aires Province,2017-12-10,,female,Q20016052-97B4E221-E1F5-4EAD-BDF9-12C7A7FB41C1
Q20017012,Julio Solanas,Q1072438,Front for Victory,Q44762,Entre Ríos Province,2015-12-10,,male,Q20017012-32AF0483-FF4F-47AD-99C7-C1AB9F8862F7
Q20644683,Facundo Garretón,Q1507720,Republican Proposal,Q44829,Tucumán Province,2015-12-10,,male,Q20644683-176C0495-FD08-4055-BDA3-AA40D255E62A
Q20667914,Alberto Ciampini,Q1072438,Front for Victory,Q44800,Neuquén Province,2015-12-10,,male,Q20667914-98BAECC9-2C66-4DFA-BF97-CD1997E98C02
Q20737416,Juan Fernando Brügge,Q21044814,United for a New Alternative,Q44759,Córdoba Province,2015-12-10,,male,Q20737416-7f3d7e70-4ffe-4cad-daba-a76d29675984
Q21480721,Javier David,Q1053668,Justicialist Party,Q44803,Salta Province,2015-12-10,,male,Q21480721-5557DD2F-66CC-407E-ACE7-D2605762806F
Q21614815,Emilio Monzó,,,Q44754,Buenos Aires Province,2021-12-10,,male,Q21614815-2ea957b8-486d-5418-d843-f31c994167e5
Q21855237,Carla Carrizo,Q47114471,,Q1486,Buenos Aires,2017-12-10,,female,Q21855237-6A4F48A9-0743-4409-B0A0-719AEF09A280
Q21856018,Samanta María Celeste Acerenza,Q1507720,Republican Proposal,Q44754,Buenos Aires Province,2015-12-10,,female,Q21856018-B84F2B33-0778-4DF7-ADD1-3FEC7537C73B
Q21856043,María Cristina Álvarez Rodriguez,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,,female,Q21856043-6DBE9189-6277-4E50-B35C-D22E5C0D3793
Q21856053,Karina Banfi,Q123585,Radical Civic Union,Q44754,Buenos Aires Province,2015-12-10,,female,Q21856053-9DDE6D63-89DA-4428-9E45-6623D9F78E39
Q21856058,Ivana María Bianchi,Q5668474,Federal Commitment,Q44818,San Luis Province,2015-12-10,,female,Q21856058-1C5BA7CB-5FE7-4C15-8488-E24B4E8D09C2
Q21856060,Luis Gustavo Borsani,Q123585,Radical Civic Union,Q44797,Mendoza,2015-12-10,,male,Q21856060-50F64C49-05AA-4F6F-B83C-BD6D8080E7E7
Q21856061,María Cristina Britez,Q1072438,Front for Victory,Q44798,Misiones Province,2015-12-10,,female,Q21856061-2E43897C-08E8-40EE-806A-16F56CC2CD8C
Q21856062,María Gabriela Burgos,Q47116009,Frente Jujeño Cambiemos,Q44764,Province of Jujuy,2017-12-10,,female,Q21856062-F6480B85-159A-4013-999F-A69A4457D54E
Q21856065,Guillermo Ramón Carmona,Q1072438,Front for Victory,Q44797,Mendoza,2015-12-10,,male,Q21856065-49042CD1-C88C-404B-B699-5AFBAD1EDF68
Q21856066,Analuz Ailen Carol,Q1072438,Front for Victory,Q44832,"Tierra del Fuego, Antarctica and South Atlantic Islands province",2015-12-10,,female,Q21856066-4A1A0781-A066-4E28-8D6D-A744E2723F2F
Q21856085,María Soledad Carrizo,Q20749344,Cambiemos,Q44759,Córdoba Province,2017-12-10,,female,Q21856085-16B3D8AE-87C9-4C22-8390-07832D52924B
Q21856086,Graciela Caselles,Q6156958,Partido Bloquista,Q44805,San Juan Province,2015-12-10,,female,Q21856086-9B4EA732-50FB-4D41-8B99-CB1C37357A0C
Q21856087,Sandra Daniela Castro,Q47108887,,Q44805,San Juan Province,2017-12-10,,female,Q21856087-C8965F5B-DFD6-43A3-AFF6-F2903B706705
Q21856090,Marcos Cleri,Q1072438,Front for Victory,Q44823,Santa Fe Province,2015-12-10,,male,Q21856090-02C89DBB-25C0-406B-A306-59B39880E03F
Q21856116,Daniel Di Stefano,Q1072438,Front for Victory,Q44798,Misiones Province,2015-12-10,,male,Q21856116-BE188DAD-4A4C-4007-A437-2515401FD1B2
Q21856118,Julián Dindart,Q123585,Radical Civic Union,Q44758,Corrientes,2015-12-10,,male,Q21856118-3F2ED8B7-1D8D-4888-9691-687E09C8D503
Q21856122,Alejandro Echegaray,Q123585,Radical Civic Union,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856122-9149AF10-FC89-4DCB-9DF9-D09426342585
Q21856129,Silvia Patricia Frana,Q1072438,Front for Victory,Q44823,Santa Fe Province,2015-12-10,,female,Q21856129-7ACF93A6-F9E5-47C5-AC1F-C90AE64722F9
Q21856139,Jorge Daniel Franco,Q41556499,,Q44798,Misiones Province,2015-12-10,,male,Q21856139-6CE21079-107F-44F1-998B-C922FC8DC443
Q21856141,Francisco Abel Furlán,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856141-61AA22CA-7C88-434F-9CA1-912F8F8B9942
Q21856145,Yanina C. Gayol,Q1507720,Republican Proposal,Q44762,Entre Ríos Province,2015-12-10,,female,Q21856145-43B0DE4D-F1D2-4222-BC5F-B25B7DB9320F
Q21856147,Horacio Goicoechea,Q123585,Radical Civic Union,Q44757,Chaco Province,2015-12-10,,male,Q21856147-3D8E5C6C-6224-46E0-B2DB-844C3F8061AE
Q21856148,Álvaro Gustavo Gonzalez,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,,male,Q21856148-F4C6AEF5-3B37-48F4-BE0B-17D1950C7023
Q21856149,Adrián Eduardo Grana,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856149-3C45DF42-CBD7-4D46-94C9-D45F267CEB37
Q21856150,Alejandro Ariel Grandinetti,Q15120034,Renewal Front,Q44823,Santa Fe Province,2015-12-10,,male,Q21856150-BDFF5874-B631-4137-90B4-49DE17CA6EEE
Q21856151,Leonardo Grosso,Q30904600,Evita Movement,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856151-2865E047-FB06-430C-95EE-6778BBB99488
Q21856152,María Isabel Guerín,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,,female,Q21856152-0C581298-7FFC-4E21-8CF9-524EF199D315
Q21856155,Martín Osvaldo Hernández,Q123585,Radical Civic Union,Q44761,Formosa Province,2015-12-10,,male,Q21856155-BA3CC72A-C5C2-475C-A743-0DBA02D7CC17
Q21856157,Anabella Ruth Hers Cabral,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,,female,Q21856157-9E2C0794-E073-481D-AC87-DE44CCA60971
Q21856158,Juan Manuel Huss,Q1072438,Front for Victory,Q44762,Entre Ríos Province,2015-12-10,,male,Q21856158-0088C495-E9EB-4B89-987B-8BC576987665
Q21856159,Santiago Nicolás Igon,Q1072438,Front for Victory,Q45007,Chubut Province,2015-12-10,,male,Q21856159-1CE68EB5-9501-422E-92A9-013698AEC4D9
Q21856160,Lucas Ciriaco Incicco,Q1507720,Republican Proposal,Q44823,Santa Fe Province,2015-12-10,,male,Q21856160-BA933BCF-AA96-4D6F-BAA0-74794A63AC10
Q21856170,Daniel Ricardo Kroneberger,Q123585,Radical Civic Union,Q44795,La Pampa,2015-12-10,2021-12-10,male,Q21856170-03158F6B-C1AF-4D04-A568-3402B8C575EA
Q21856172,Luciano Andrés Laspina,Q20749344,Cambiemos,Q44823,Santa Fe Province,2017-12-10,,male,Q21856172-559FCCCE-48A3-4F79-8176-F8C0D63170AC
Q21856173,Marco Lavagna,Q15120034,Renewal Front,Q1486,Buenos Aires,2015-12-10,,male,Q21856173-6E8FC620-7A6F-4095-A615-F5D42DE7C80E
Q21856175,Ana Llanos,Q1072438,Front for Victory,Q45007,Chubut Province,2015-12-10,,female,Q21856175-FE7318D7-0BC5-4A91-A440-5FABBA5CE890
Q21856176,Leandro López Koenig,Q1507720,Republican Proposal,Q44800,Neuquén Province,2015-12-10,,male,Q21856176-00B55F58-754D-4CFA-AB78-1CA211CCD3AB
Q21856177,Silvia Gabriela Lospennato,Q1507720,Republican Proposal,Q44754,Buenos Aires Province,2015-12-10,,female,Q21856177-A0F8C4F8-B359-47E6-9977-7AF4BEE4AA02
Q21856178,Inés Beatriz Lotto de Vecchietti,Q1072438,Front for Victory,Q44761,Formosa Province,2015-12-10,,female,Q21856178-269C3444-5D1F-4944-85C3-913FF59BCCB3
Q21856179,Oscar Alberto Macias,Q1053668,Justicialist Party,Q44758,Corrientes,2015-12-10,,male,Q21856179-8D0E7C0F-2FA7-45DE-B68C-4D2CBEC14F07
Q21856181,Hugo María Marcucci,Q123585,Radical Civic Union,Q44823,Santa Fe Province,2015-12-10,,male,Q21856181-8F84081B-FEB4-49A7-8BB2-AF89FCF60420
Q21856182,Silvia Alejandra Martínez,Q123585,Radical Civic Union,Q44764,Province of Jujuy,2015-12-10,,female,Q21856182-4BDA2CD5-941F-4D9F-BAEC-EF316143EEA2
Q21856186,Leonor María Martínez Villada,Q1104292,Civic Coalition ARI,Q44759,Córdoba Province,2015-12-10,,female,Q21856186-010316EF-FB95-440B-9EA1-D258E8BCED54
Q21856186,Leonor María Martínez Villada,,,Q44759,Córdoba Province,2015-12-10,,female,Q21856186-4E3DA50E-D157-4D4C-8013-80F4E1714DF7
Q21856188,María Lucila Masin,Q1072438,Front for Victory,Q44757,Chaco Province,2015-12-10,,female,Q21856188-7A75A577-17E3-4FC0-AFCA-8F88D6C73B9B
Q21856189,Vanesa Laura Massetani,Q15120034,Renewal Front,Q44823,Santa Fe Province,2015-12-10,,female,Q21856189-F1741EAA-7F59-4360-8652-257C609FEAEC
Q21856190,Nicolás María Massot,Q1507720,Republican Proposal,Q44759,Córdoba Province,2015-12-10,,male,Q21856190-7A2FBC75-771E-4A06-B879-B35106EC19D0
Q21856193,Verónica Mercado,Q1072438,Front for Victory,Q44756,Catamarca Province,2015-12-10,,female,Q21856193-62446CD9-2257-464F-8A0A-C30375B3A6E6
Q21856194,Diego Matías Mestre,Q20749344,Cambiemos,Q44759,Córdoba Province,2017-12-10,,male,Q21856194-18C4F8D7-5BD2-4B91-8517-C8C5345BA5ED
Q21856195,Pedro Rubén Miranda,Q1053668,Justicialist Party,Q44797,Mendoza,2015-12-10,,male,Q21856195-D0A9E568-3408-4253-884E-0D0501AB32C6
Q21856211,Karina Alejandra Molina,Q1507720,Republican Proposal,Q44796,La Rioja Province,2015-12-10,,female,Q21856211-D9DF0C16-AC44-4EAB-9759-A6879AE2BD09
Q21856212,Marcelo Monfort,Q123585,Radical Civic Union,Q44762,Entre Ríos Province,2015-12-10,,male,Q21856212-0B8DE500-AAA6-4B3D-AE4C-D5EEB7140E60
Q21856213,Mariana Morales,Q15120034,Renewal Front,Q44827,Santiago del Estero Province,2015-12-10,,female,Q21856213-AAB0569B-40B2-4B33-ADDF-E06DB232BB03
Q21856214,Cecilia Moreau,Q66987448,Federal Unidos por una Nueva Argentina,Q44754,Buenos Aires Province,2015-12-10,,female,Q21856214-8B1CB45B-6CF9-44F5-953F-200D9D604A91
Q21856216,Miguel Nanni,Q123585,Radical Civic Union,Q44803,Salta Province,2015-12-10,,male,Q21856216-4060219F-1E9D-4F09-B690-B390ADBE01B6
Q21856217,Graciela Navarro,Q3088428,Civic Front for Santiago,Q44827,Santiago del Estero Province,2015-12-10,,female,Q21856217-76835777-9E13-44A8-8676-BB677A07F240
Q21856218,Adriana Mónica Nazario,Q21044814,United for a New Alternative,Q44759,Córdoba Province,2015-12-10,,female,Q21856218-995924D0-74DA-4CFB-82AA-4F36448C9341
Q21856219,José Carlos Núñez,Q1507720,Republican Proposal,Q44823,Santa Fe Province,2015-12-10,,male,Q21856219-818EB464-DB92-441B-8A36-336AE7EB0BDD
Q21856222,José Fernando Orellana,Q41556939,,Q44829,Tucumán Province,2015-12-10,,male,Q21856222-0AEC129A-D1F4-4547-8625-0E7B3130AC60
Q21856223,Marcela Fabiana Passo,Q15120034,Renewal Front,Q44754,Buenos Aires Province,2015-12-10,,female,Q21856223-2F33DFBD-A9F1-4EF9-B1C7-62B884DF498D
Q21856224,Luis Mario Pastori,Q20749344,Cambiemos,Q44798,Misiones Province,2017-12-10,,male,Q21856224-FFA42497-061F-4CEC-8320-69B5C111D0D3
Q21856225,Mirta Pastoriza,Q3088428,Civic Front for Santiago,Q44827,Santiago del Estero Province,2015-12-10,,female,Q21856225-BFAB6DE2-F098-43DC-BEE8-54029BAF5D3A
Q21856227,Juan Manuel Pereyra,Q5870697,,Q44759,Córdoba Province,2015-12-10,,male,Q21856227-FE12CFD3-44EA-4EC5-A132-5446746073FA
Q21856228,Martín Alejandro Pérez,Q47146795,Frente Ciudadano y Social,Q44832,"Tierra del Fuego, Antarctica and South Atlantic Islands province",2017-12-10,,male,Q21856228-1C737338-BE13-4395-888C-6B6B5FC36F0D
Q21856229,Raúl Joaquín Pérez,Q66987448,Federal Unidos por una Nueva Argentina,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856229-993F068C-FB74-41F5-9964-CE696A29266A
Q21856230,Luis Alfonso Petri,Q20749344,Cambiemos,Q44797,Mendoza,2017-12-10,,male,Q21856230-0437E10A-FE88-476D-9C48-34EB1DB64223
Q21856231,Carla Betina Pitiot,Q15120034,Renewal Front,Q1486,Buenos Aires,2015-12-10,,female,Q21856231-2EA6AEB0-BB21-427E-BED8-776806D78F16
Q21856234,Pedro Javier Pretto,Q1507720,Republican Proposal,Q44759,Córdoba Province,2015-12-10,,male,Q21856234-B141616E-1E6F-4B99-B8BA-1D8C9BAC7E8E
Q21856258,María Fernanda Raverta,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,,female,Q21856258-7E289C08-F412-4B0B-B5A7-CDC8B132E8F8
Q21856259,José Luis Riccardo,Q47146969,,Q44818,San Luis Province,2017-12-10,,male,Q21856259-5130E2E8-2EB3-4569-8E3E-C5723F31EB66
Q21856260,Olga María Rista,Q123585,Radical Civic Union,Q44759,Córdoba Province,2015-12-10,,female,Q21856260-FAC29E2A-1E1C-4B8D-B235-ED106E7DB209
Q21856263,Rodrigo Martín Rodríguez,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856263-145AFDA7-3ECB-4F02-8337-2EF498B077D6
Q21856264,Carlos Gastón Roma,Q1507720,Republican Proposal,Q44832,"Tierra del Fuego, Antarctica and South Atlantic Islands province",2015-12-10,,male,Q21856264-189189DF-2B77-4975-855E-489AF070CC47
Q21856269,José Arnaldo Ruiz Aragón,Q64590596,Frente de Todos,Q44758,Corrientes,2015-12-10,,male,Q21856269-CCDEA69C-FD66-4438-9743-F61594082B50
Q21856271,Walter Marcelo Santillán,Q1072438,Front for Victory,Q44829,Tucumán Province,2015-12-10,,male,Q21856271-64F04141-DCD7-4FD1-9F58-2E03F32E54BC
Q21856272,Gisela Scaglia,Q20749344,Cambiemos,Q44823,Santa Fe Province,2017-12-10,,female,Q21856272-786C6B2D-9E44-4A56-9F22-1D8D3B60B516
Q21856274,Carlos Américo Selva,Q15120034,Renewal Front,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856274-5CAED050-FC2C-4308-BD90-C9B56AD5384F
Q21856277,Alejandro Francisco Snopek,Q15120034,Renewal Front,Q44764,Province of Jujuy,2015-12-10,,male,Q21856277-C0176D92-52A8-43F8-B294-37786AAA8CC5
Q21856279,Mirta Alicia Soraire,Q1072438,Front for Victory,Q44829,Tucumán Province,2015-12-10,,female,Q21856279-30A3EBB5-1CCF-4D2D-98CC-3DAF7B54C5EB
Q21856283,Jorge Taboada,Q26258776,We Are All Chubut,Q45007,Chubut Province,2015-12-10,,male,Q21856283-BF93EF37-459B-4AD3-BB6D-405EBB42FF0F
Q21856284,Luis Rodolfo Tailhade,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856284-9269DECC-18F6-491B-8067-C0D98342FE7A
Q21856289,Pablo Torello,Q1507720,Republican Proposal,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856289-F8D655A4-B490-4B77-AF02-D8B5E325F62B
Q21856294,Juan Carlos Villalonga,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,,male,Q21856294-DF0A6000-2DCA-485D-88AB-96AE07DA0694
Q21856298,Marcelo Germán Wechsler,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,,male,Q21856298-21B3F857-4618-455E-B9D0-7B043C95A372
Q21856299,Sergio Javier Wisky,Q1507720,Republican Proposal,Q44802,Río Negro Province,2015-12-10,,male,Q21856299-9B089597-62AF-40EC-8837-6FC2BF1959A7
Q21856300,Waldo Wolff,Q1507720,Republican Proposal,Q44754,Buenos Aires Province,2015-12-10,,male,Q21856300-76560F7C-ED4A-4089-8C5F-6754EB24BA2A
Q21856301,Sergio Raúl Ziliotto,Q1053668,Justicialist Party,Q44795,La Pampa,2015-12-10,,male,Q21856301-65CFBEFB-950C-466D-A401-BA1289A53A0D
Q22329411,Eduardo Valdés,Q64590596,Frente de Todos,Q1486,Buenos Aires,2019-12-10,,male,Q22329411-57d39efb-47da-f5fe-e3f3-df6f9974f031
Q23411111,Albor Cantard,Q20749344,Cambiemos,Q44823,Santa Fe Province,2017-12-10,,male,Q23411111-0244E531-5B83-4B27-805E-643FF564187C
Q23906959,Magdalena Sierra,Q30841057,Citizen's Unity,Q44754,Buenos Aires Province,2017-12-10,,female,Q23906959-F3AE7CC6-F21C-4587-9255-ECC4FFF0CF7A
Q2429045,Victoria Donda,Q5501084,Freemen of the South Movement,Q1486,Buenos Aires,2015-12-10,,female,Q2429045-124D72DC-8ACC-49BA-9189-6485829BC244
Q270025,Elisa Carrió,Q42116847,Vamos Juntos,Q1486,Buenos Aires,2017-12-10,,female,Q270025-BA342DC3-B3E1-4283-9FFB-57C7EE859CA3
Q27307685,Brenda Lis Austin,Q20749344,Cambiemos,Q44759,Córdoba Province,2017-12-10,,female,Q27307685-E7656A86-F9E7-45FE-9781-260DF4ED813D
Q27307792,Pamela Verasay,,,Q44797,Mendoza,2021-12-10,,female,Q27307792-23db89d4-45fa-11bd-73e5-a53bbb64dcbe
Q28865310,Orieta Cecilia Vera Gonzalez,Q1104292,Civic Coalition ARI,Q44756,Catamarca Province,2016-12-22,,female,Q28865310-28cd8167-4361-e708-f03f-d3a60467b777
Q3052342,Nilda Celia Garré,Q1072438,Front for Victory,Q1486,Buenos Aires,2015-12-10,,female,Q3052342-525B9F7D-C5E8-4203-83E3-3D0D554C575C
Q30905503,Alejandro Finocchiaro,,,,,2021-12-10,,male,Q30905503-4c8f5ad2-4cba-e0b3-b921-5a39318953d2
Q312505,Héctor Baldassi,Q20749344,Cambiemos,Q44759,Córdoba Province,2017-12-10,,male,Q312505-3E73163D-9C81-4C4E-BB7D-1B060E378467
Q33296854,Alejandra Rodenas,Q3753652,Justicialist Front,Q44823,Santa Fe Province,2017-12-10,,female,Q33296854-B92D67D5-33C6-4EBC-A5E8-69687D509A04
Q33297240,Paula Mariana Oliveto Lago,Q42116847,Vamos Juntos,Q1486,Buenos Aires,2017-12-10,,female,Q33297240-823011B2-DDC6-40D0-8A16-15FD62149826
Q34207613,Fernanda Vallejos,Q30841057,Citizen's Unity,Q44754,Buenos Aires Province,2017-12-10,,female,Q34207613-EF7EF0C3-02BC-44BB-9ECE-EB45C7CBF715
Q3479675,Sergio Massa,,,Q44754,Buenos Aires Province,2019-12-10,,male,Q3479675-507b8644-485d-28a2-9611-44371ea5385e
Q37006507,Martín Grande,Q47114773,Cambiemos País,Q44803,Salta Province,2017-12-10,,male,Q37006507-353AE132-929F-4EF2-B767-C4ADF9358112
Q4122381,Luis Beder Herrera,Q1053668,Justicialist Party,Q44796,La Rioja Province,2015-12-10,,male,Q4122381-F5706889-B2C2-4295-8921-A7046CC879E1
Q4137510,José Luis Gioja,Q1072438,Front for Victory,Q44805,San Juan Province,2015-12-10,,male,Q4137510-E996B895-EA66-4FF8-96BA-FBB48C38DD0B
Q41555908,Martin Maquieyra,Q47146755,,Q44795,La Pampa,2017-12-10,,male,Q41555908-FEFBAE0E-3F23-4B51-BDE5-AD12DC3514E7
