item,name,party,partyLabel,region,regionLabel,startDate,endDate,gender,psid
Q101210427,Patricia Mounier,Q1072438,Front for Victory,Q44823,Santa Fe Province,2019-12-19,,female,Q101210427-b77997a8-44fe-e2ce-12eb-1cc40f40356c
Q101413635,María Luján Rey,Q64590412,Juntos por el Cambio,Q44754,Buenos Aires Province,2019-12-10,,female,Q101413635-63b8c621-47a4-378b-f17a-3bbc1648c61c
Q102347072,Soher El Sukaria,,,Q44759,Córdoba Province,2019-12-10,,female,Q102347072-1c7110e7-4468-a6b1-d9f9-c94729c89774
Q104214254,Juan Manuel López,,,,,2017,,male,Q104214254-5c6cfa1a-44bb-d8b5-0247-47d948b28c85
Q104433320,Ignacio Agustín Torres,Q1507720,Republican Proposal,Q45007,Chubut Province,2019-12-10,2021-12-10,male,Q104433320-bdf35637-4a57-bb4a-0743-4fe0b9dbdaa2
Q107209202,Victoria Tolosa Paz,,,Q44754,Buenos Aires Province,2021-12-10,,female,Q107209202-06d26cfe-40c7-c7c1-dd81-ce742c79aa4a
Q107646264,Carolina Yutrovic,,,,,2019-12-19,,female,Q107646264-c97c2a4e-4aba-17aa-abc7-6ee5eddfe7d4
Q107719053,Gabriela Estévez,Q1072438,Front for Victory,Q44759,Córdoba Province,2015-12-10,,female,Q107719053-611FAC9C-B6A4-4EA2-914E-54FD128E094B
Q107802947,Nicolás Rodríguez Saá,,,Q44754,Buenos Aires Province,2019-12-19,2021-12-10,male,Q107802947-b345692f-4dd1-ae29-587e-2a6e6b1c3a09
Q108028101,Federico Frigerio,,,,,2019-12-10,,male,Q108028101-f4cbad38-4d14-d8d1-dc4b-5f8ee94135b1
Q108101212,Francisco Guevara,,,,,2019-12-19,2021-12-10,male,Q108101212-ace66026-479f-ca73-8d5d-fa0ef7edabce
Q108299590,Dante López Rodríguez,Q64590596,Frente de Todos,Q44756,Catamarca Province,2019-12-19,,male,Q108299590-1ca7ccd3-409b-3acc-0f80-96457b1e347b
Q108322391,Nancy Aracely Sand Giorasi,Q64590596,Frente de Todos,Q44758,Corrientes,2019-12-10,,female,Q108322391-7a75e9e4-4873-3cb5-8110-cda8a6cfa1b3
Q108324373,María Rosa Martínez,,,Q44754,Buenos Aires Province,2019-12-10,,female,Q108324373-e49654e5-42c1-7c60-016f-e1d740fc0df7
Q108373971,Susana Graciela Landriscini,Q64590596,Frente de Todos,Q44802,Río Negro Province,2019-12-10,,female,Q108373971-5ba73bab-4b73-a60b-f8db-da9676fefc84
Q108377000,Luis Di Giacomo,Q25405448,Juntos Somos Río Negro,Q44802,Río Negro Province,2019-12-10,,male,Q108377000-e57a8c19-44fc-e691-7693-7476655b03b8
Q108386730,Martín Berhongaray,Q123585,Radical Civic Union,Q44795,La Pampa,2019-12-10,,male,Q108386730-5855ed7f-4cd2-1de3-f678-e1b5f2ab3458
Q108401294,Liliana Patricia Yambrún,Q64590596,Frente de Todos,Q44754,Buenos Aires Province,2019-12-10,,female,Q108401294-0abe3c00-4336-c3da-df23-4e87654ea979
Q108425883,Eduardo Gabriel Fernández,Q64590596,Frente de Todos,Q44759,Córdoba Province,2019-12-10,,male,Q108425883-0fa70d23-442b-09d7-12c2-2aaab800c0ca
Q108426848,María Dolores Martínez,Q64590412,Juntos por el Cambio,Q1486,Buenos Aires,2019-12-10,,female,Q108426848-f3e46dbd-4d21-94b5-52b6-099b9bc3650a
Q110050625,Martín Tetaz,,,Q1486,Buenos Aires,2021-12-10,,male,Q110050625-314e87ac-4066-fcfb-f28d-8d076d8732d3
Q110164788,Natalia Zaracho,Q64590596,Frente de Todos,Q44754,Buenos Aires Province,2021-12-16,,female,Q110164788-cdf6c656-48a1-13a5-741d-d5ecb57a81ea
Q110191758,Ricardo Daniel Daives,,,Q44827,Santiago del Estero Province,2019-12-10,,male,Q110191758-8c2545b0-411c-09a3-825d-298b876fc1e2
Q110219598,Diego Sartori,,,Q44798,Misiones Province,2019-12-10,,male,Q110219598-63b418dc-4678-7e17-54e2-1b4f9314d98e
Q110249925,Gabriela Brouwer de Koning,Q64590412,Juntos por el Cambio,Q44759,Córdoba Province,2021-12-10,,female,Q110249925-15e930ce-43fd-285b-71a1-fcf1b1c6d975
