@@,itemlabel,item,startdate,enddate
+++,Carlos María de Alvear,Q465493,1838-10-11,
+++,Emilio de Alvear,Q5831380,1864-11-04,
+++,Manuel Rafael García Aguirre,Q5397672,1868-10-16,
->,Domingo Faustino Sarmiento,Q254041,1868->1863-12-04,NULL->1868
+++,Bartolomé Mitre Vedia,Q5721410,1880,
+++,Carlos Carranza,,1884,
+++,Vicente G. Quesada,Q2521958,1885-05-22,
+++,Roque Sáenz Peña,Q383015,1890,
+++,Rafael García Mansilla,Q5853865,1892,
+++,Estanislao Zeballos,Q724871,1893-09-12,
+++,Vicente J. Domínguez,,1895-11,
+++,Martín García Mérou,Q16494089,1896-06-26,
+++,Antonio del Viso,Q5700403,1899-12,
+++,Eduardo Wilde,Q1291224,1900-05-05,
+++,Antonio del Viso,Q5700403,1901-04,
+++,Martín García Mérou,Q16494089,1901-08,
+++,Epifanio Portela,Q16562571,1905-05-24,
+++,Rómulo Naón,Q6115964,1911-04-11,
+++,Rómulo Naón,Q6115964,1914-12-03,
+++,Tomás Le Breton,Q5860800,1919-03-03,
+++,Felipe Aja Espil,Q17274548,1922-06-17,
+++,Honorio Pueyrredon,Q1627240,1924-03-10,
+++,Conrado Traverso,,1928-01-13,
+++,Felipe Aja Espil,Q17274548,1928-03-26,
+++,Julian Enciso,,1928-07-30,
+++,Manuel Malbrán,Q385505,1928-09-07,
+++,Julian Enciso,,1928-11-17,
+++,Manuel Malbrán,Q385505,1930-11-21,
+++,Felipe Aja Espil,Q17274548,1931-07-07,
+++,Adrián César Escobar,Q377722,1944-02-03,
+++,Sin representación,,1944-02-25,
+++,Rodolfo Garcia Arias,,1945-04-09,
+++,Oscar Ibarra García,Q88188771,1945-05-04,
+++,Luis Santiago Luti,Q1876527,1945-09-21,
+++,Oscar Ivanissevich,Q6053892,1946-09-20,
+++,Martín Luis Drago,,1948-02-02,
+++,Jerónimo Remorino,Q1688025,1948-06-18,
+++,Hipólito Jesús Paz,Q5898527,1951-08-24,
->,Adolfo Vicchi->Adolfo Ángel Vicchi,Q5658174,1955-12-09,1957-06
+++,Mauricio Luis Yadarola,Q20022050,1957-07-25,
+++,César Barros Hurtado,Q88109991,1958-06-10,
+++,Emilio Donato del Carril,Q5831060,1959-09-29,
+++,Roberto Alemann,Q2159408,1962-06-01,
+++,Norberto Miguel Barrenechea,Q88190903,1964-06-17,
+++,Álvaro Alsogaray,Q8076665,1966-09-20,
+++,Eduardo Alejandro Roca,Q42290947,1968-10-11,
+++,Pedro Eduardo Real,Q88194926,1970-01-01,
+++,Robert H. Tiscornia,,1971-07-21,
+++,Carlos Manuel Muñiz,Q28028589,1971-10-19,
+++,Diego Felipe Medus,,1973-05-31,
+++,Alejandro José Luis Orfila,Q4714628,1973-11-15,
+++,Rafael Maximiliano Vázquez,Q87816113,1975-07-11,
+++,Arnaldo T. Musich,Q87775434,1976-07-15,
+++,Gastón de Prat Gay,Q88959590,1976-11-18,
+++,Jorge Antonio Aja Espil,Q42902900,1976-12-23,
+++,Roberto E. Dalton,,1981-06-13,
+++,Esteban Arpad Takacs,Q87770154,1981-09-02,
+++,Lucio García del Solar,Q16593947,1982-09-20,
+++,Enrique Candioti,Q5379731,1986-05-01,
+++,Guido Di Tella,Q5615655,1989-09-21,
+++,Carlos Ortiz de Rozas,Q5751229,1991-03-28,
+++,Raúl Granillo Ocampo,Q6101227,1993-07-28,
+++,Diego Ramiro Guelar,Q25983942,1997,
+++,Guillermo Enrique González,Q84498098,2000-01-25,
+++,Diego Ramiro Guelar,Q25983942,2002-02-13,
+++,Eduardo Amadeo,Q5818962,2003-01-02,
+++,José Octavio Bordón,Q5575797,2003-07-21,
+++,Héctor Timerman,Q58073,2008-03-13,
+++,Alfredo Chiaradía,Q4723740,2010-11-01,
+++,Jorge Argüello,Q6277681,2012-01-05,
->,Cecilia Nahón->Maria Cecilia Nahón,Q21855134,2013-02-19,2015-12-10
+++,Jorge Argüello,Q6277681,2020-02-06,
