item,name,party,partyLabel,region,regionLabel,startDate,endDate,psid
Q107719053,Gabriela Beatriz Estévez,Q1072438,Frente para la Victoria,Q44759,Provincia de Córdoba,2015-12-10,2019-12-09,Q107719053-611FAC9C-B6A4-4EA2-914E-54FD128E094B
Q111424753,Bernardo José Herrera,,,Q44827,Provincia de Santiago del Estero,2019-04-04,2021-12-09,Q111424753-5EFF5645-6D3D-4093-94E1-259FEA18D46C
Q111476790,José Luis Moretti,,,Q44796,Provincia de La Rioja,2019-05-15,2019-12-09,Q111476790-08F5E50C-10E8-4270-933F-3F3D21CCFF6D
Q1162679,Daniel Scioli,Q30841057,Unidad Ciudadana,Q44754,Provincia de Buenos Aires,2017-12-10,2020-05-13,Q1162679-F37B3C39-B705-4885-8DF4-D26814ADB9D9
Q11682640,Hugo Yasky,Q30841057,Unidad Ciudadana,Q44754,Provincia de Buenos Aires,2017-12-10,2021-12-09,Q11682640-4AA1EAE0-9BED-400D-9E45-11B61C323C64
Q12164058,Eduardo Enrique de Pedro,Q1072438,Frente para la Victoria,Q44754,Provincia de Buenos Aires,2015-12-10,2019-12-10,Q12164058-A7334DC6-75DA-4457-87E8-4510DDA5A7B4
Q1403237,Felipe Carlos Solá,Q34692011,1País,Q44754,Provincia de Buenos Aires,2017-12-10,2019-12-10,Q1403237-5CD988B8-6282-4017-A355-5AB934CC4E18
Q15702157,Nicolás del Caño,Q598744,Frente de Izquierda y de Trabajadores-Unidad,Q44754,Provincia de Buenos Aires,2017-12-10,2021-12-09,Q15702157-A8198931-8E20-4679-9001-E035FDD5999D
Q15714680,Pablo Francisco Juan Kosiner,Q1053668,Partido Justicialista,Q44803,Provincia de Salta,2015-12-10,2019-12-09,Q15714680-4E67E338-0E85-4F86-8400-7AFE938C84EA
Q15719117,Máximo Carlos Kirchner,Q64590596,Frente de Todos,Q44821,Provincia de Santa Cruz,2015-12-10,2019-12-09,Q15719117-00141ECD-E514-4FF5-B0D2-044F0D6B10DF
