item,name,region,regionLabel,party,partyLabel,startDate,endDate
,Anabella Ruth Hers Cabral,Q1486,Ciudad de Buenos Aires,Q1507720,Pro,2015-12-10,2018-12-12
Q5859724,Fernando Adolfo Iglesias,Q1486,Ciudad de Buenos Aires,Q1507720,Pro,2017-12-10,2021-12-09
Q3754443,Axel Kicillof,Q1486,Ciudad de Buenos Aires,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
Q5667299,Andrés Larroque,Q1486,Ciudad de Buenos Aires,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
Q21856173,Marco Lavagna,Q1486,Ciudad de Buenos Aires,Q15120034,Federal Unidos por una Nueva Argentina,2015-12-10,2019-12-09
Q47117877,Juan Manuel López,Q1486,Ciudad de Buenos Aires,Q1104292,Coalición Cívica,2017-12-10,2021-12-09
Q6553522,Martín Lousteau,Q1486,Ciudad de Buenos Aires,Q47095570,Evolución Radical,2017-12-10,2019-12-09
Q33297240,Paula Mariana Oliveto Lago,Q1486,Ciudad de Buenos Aires,Q1104292,Coalición Cívica,2017-12-10,2021-12-09
,Carla Betina Pitiot,Q1486,Ciudad de Buenos Aires,Q15120034,Federal Unidos por una Nueva Argentina,2015-12-10,2019-12-09
Q47142563,Carmen Polledo,Q1486,Ciudad de Buenos Aires,Q1507720,Pro,2017-12-10,2021-12-09
Q18224934,Cornelia Schmidt-Liermann,Q1486,Ciudad de Buenos Aires,Q1507720,Pro,2015-12-10,2019-12-09
Q5855240,Facundo Suárez Lastra,Q1486,Ciudad de Buenos Aires,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q17624215,Pablo Gabriel Tonelli,Q1486,Ciudad de Buenos Aires,Q1507720,Pro,2015-12-10,2019-12-09
Q21856294,Juan Carlos Villalonga,Q1486,Ciudad de Buenos Aires,Q1507720,Pro,2015-12-10,2019-12-09
,Marcelo Germán Wechsler,Q1486,Ciudad de Buenos Aires,Q1507720,Pro,2015-12-10,2019-12-09
Q3048310,Eduardo Segundo Brizuela del Moral,Q44756,Catamarca,Q5124351,Frente Cívico y Social de Catamarca,2017-12-10,2021-12-09
Q47142422,Silvana Micaela Ginocchio,Q44756,Catamarca,Q1053668,Elijo Catamarca,2017-12-10,2021-12-09
,Véronica Mercado,Q44756,Catamarca,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Gustavo Arturo Saadi,Q44756,Catamarca,Q1053668,Elijo Catamarca,2017-12-10,2019-12-03
,Orieta Cecilia Vera González,Q44756,Catamarca,Q1104292,Coalición Cívica,2016-12-22,2019-12-09
Q5715314,Aída Beatriz Máxima Ayala,Q44757,Chaco,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
,Horacio Goicoechea,Q44757,Chaco,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
Q21856188,María Lucila Masin,Q44757,Chaco,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Juan Mosqueda,Q44757,Chaco,Q1053668,Justicialista,2017-12-10,2021-12-09
Q47142443,Elda Pértile,Q44757,Chaco,Q1053668,Justicialista,2017-12-10,2021-12-09
Q21856236,Analía Rach Quiroga,Q44757,Chaco,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
Q5668850,Alicia Terada,Q44757,Chaco,Q1104292,Coalición Cívica,2017-12-10,2021-12-09
Q21856159,Santiago Nicolás Igon,Q45007,Chubut,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Ana María Llanos Massa,Q45007,Chubut,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
Q47142461,Gustavo Menna,Q45007,Chubut,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q55825601,Rosa Rosario Muñoz,Q45007,Chubut,,"",2017-12-10,2021-12-09
,Jorge Taboada,Q45007,Chubut,Q26258776,"Cultura, Educación y Trabajo",2015-12-10,2019-12-09
Q27307685,Brenda Lis Austin,Q44759,Córdoba,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q312505,Héctor Baldassi,Q44759,Córdoba,Q1507720,Pro,2017-12-10,2021-12-09
Q20737416,Juan Fernando Brügge,Q44759,Córdoba,Q4732336,Córdoba Federal,2016-03-01,2019-12-09
Q21856085,María Soledad Carrizo,Q44759,Córdoba,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q41787670,Pablo Carro,Q44759,Córdoba,Q1072438,Frente para la Victoria-PJ,2017-12-10,2021-12-09
,Paulo Leonardo Cassinerio,Q44759,Córdoba,Q4732336,Córdoba Federal,2017-12-10,2021-12-09
Q107719053,Gabriela Beatriz Estévez,Q44759,Córdoba,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Gabriel Alberto Frizza,Q44759,Córdoba,Q1507720,Pro,2017-12-10,2021-12-09
Q6002748,Martín Miguel Llaryora,Q44759,Córdoba,Q4732336,Córdoba Federal,2017-12-10,2019-12-09
Q21856186,Leonor María Martínez Villada,Q44759,Córdoba,Q1104292,Coalición Cívica,2015-12-10,2019-12-09
Q21856190,Nicolás María Massot,Q44759,Córdoba,Q1507720,Pro,2015-12-10,2019-12-09
Q21856194,Diego Matías Mestre,Q44759,Córdoba,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q21856218,Adriana Mónica Nazario,Q44759,Córdoba,Q4732336,Córdoba Federal,2015-12-10,2019-12-09
Q16301672,Mario Raúl Negri,Q44759,Córdoba,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
,Juan Manuel Pereyra,Q44759,Córdoba,,Concertación Forja,2015-12-10,2019-12-09
,Pedro Javier Pretto,Q44759,Córdoba,Q1507720,Pro,2015-12-10,2019-12-09
Q21856260,Olga María Rista,Q44759,Córdoba,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
Q47142712,Alejandra María Vigo,Q44759,Córdoba,Q4732336,Córdoba Federal,2017-12-10,2021-12-09
,Sofía Brambilla,Q44758,Corrientes,Q1507720,Pro,2017-12-10,2021-12-09
,Julián Dindart,Q44758,Corrientes,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
Q21856128,Araceli Ferreyra,Q44758,Corrientes,Q30904600,Movimiento Evita,2015-12-10,2019-12-09
,Oscar Alberto Macias,Q44758,Corrientes,Q1053668,Justicialista,2015-12-10,2019-12-09
Q47142758,Estela Mercedes Regidor Belledone,Q44758,Corrientes,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
,Jorge Antonio Romero,Q44758,Corrientes,Q1072438,Frente para la Victoria-PJ,2017-12-10,2021-12-09
Q21856269,José Arnaldo Ruiz Aragón,Q44758,Corrientes,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Juan José Bahillo,Q44762,Entre Ríos,Q1053668,Justicialista,2017-12-10,2019-12-02
Q41776986,Atilio Francisco Salvador Benedetti,Q44762,Entre Ríos,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q47143118,Mayda Cresto,Q44762,Entre Ríos,Q1053668,Justicialista,2017-12-10,2021-12-09
,Alicia Fregonese,Q44762,Entre Ríos,Q1507720,Pro,2017-12-10,2021-12-09
,Yanina Celeste Gayol,Q44762,Entre Ríos,Q1507720,Pro,2015-12-10,2019-12-09
,Juan Manuel Huss,Q44762,Entre Ríos,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Jorge Enrique Lacoste,Q44762,Entre Ríos,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
,Marcelo Alejandro Monfort,Q44762,Entre Ríos,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
Q20017012,Julio Rodolfo Solanas,Q44762,Entre Ríos,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Mario Horacio Arce,Q44761,Formosa,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
Q5982877,Luis Eugenio Basterra,Q44761,Formosa,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,Gustavo Ramiro Fernández Patri,Q44761,Formosa,Q1072438,Frente para la Victoria-PJ,2017-12-10,2021-12-09
,Martín Osvaldo Hernández,Q44761,Formosa,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
Q21856178,Inés Beatriz Lotto,Q44761,Formosa,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
Q21856062,María Gabriela Burgos,Q44764,Jujuy,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
,José Luis Martiarena,Q44764,Jujuy,Q1053668,Justicialista,2017-12-10,2021-12-09
,Silvia Alejandra Martínez,Q44764,Jujuy,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
Q6003481,María Carolina Moisés,Q44764,Jujuy,Q1053668,Justicialista,2017-12-18,2019-12-09
,Osmar Antonio Monaldi,Q44764,Jujuy,Q1507720,Pro,2017-12-10,2021-12-09
,Alejandro Francisco Snopek,Q44764,Jujuy,Q15120034,Federal Unidos por una Nueva Argentina,2015-12-10,2019-12-09
Q47143336,Melina Aida Delú,Q44795,La Pampa,Q1053668,Justicialista,2017-12-10,2021-12-09
Q21856170,Daniel Ricardo Kroneberger,Q44795,La Pampa,Q123585,Unión Cívica Radical,2015-12-10,2019-12-09
Q41555908,Martín Maquieyra,Q44795,La Pampa,Q1507720,Pro,2017-12-10,2021-12-09
Q47143222,Ariel Rauschenberger,Q44795,La Pampa,Q1053668,Justicialista,2017-12-10,2021-12-09
Q21856301,Sergio Raúl Ziliotto,Q44795,La Pampa,Q1053668,Justicialista,2015-12-10,2019-12-09
,Danilo Adrián Flores,Q44796,La Rioja,Q1053668,Justicialista,2017-12-10,2021-12-09
Q4122381,Luis Beder Herrera,Q44796,La Rioja,Q1053668,Justicialista,2015-12-10,2019-12-09
,Karina Alejandra Molina,Q44796,La Rioja,Q1507720,Pro,2015-12-10,2019-12-09
,José Luis Moretti,Q44796,La Rioja,Q15120034,Federal Unidos por una Nueva Argentina,2019-05-15,2019-12-09
Q21856221,Héctor Enrique Olivares,Q44796,La Rioja,Q123585,Unión Cívica Radical,2015-12-10,2019-05-12
,Julio Enrique Sahad,Q44796,La Rioja,Q1507720,Pro,2017-12-10,2021-12-09
,Elva Susana Balbo,Q44797,Mendoza,Q1507720,Pro,2015-12-10,2018-04-30
