@@,itemlabel,item,startdate,enddate
---,Carlos María Moyano,Q1043087,1884,1887
---,Ramón Lista,Q3418686,1887,1892
---,Edelmiro Mayer,Q5817609,1892,1897
+++,Arturo Puricelli,Q715414,1983-12-10,1987-12-10
+++,Ricardo del Val,Q17612317,1987-12-10,1990-07-06
+++,José Ramón Granero,,1990-07-06,1991-03-15
+++,Héctor Marcelino García,,1991-03-15,1991-12-10
+++,Héctor Icazuriaga,Q4198981,2003-05-24,2003-12-10
+++,Sergio Acevedo,Q7454170,2003-12-10,2006-03-30
+++,Carlos Sancho,Q5042622,2006-03-30,2007-05-10
+++,Daniel Peralta,Q4838621,2007-05-10,2015-12-10
