@@,item,name,region,regionlabel,startdate,enddate,psid
->,Q4678262,Ada Itúrrez de Cappellini->Ada Rosa Del Valle Itúrrez de Cappellini,Q44827,Santiago del Estero,2013-12-10,2019-12-09,Q4678262-AAB5DDC8-CEA8-4E5F-AF60-C9D8A665ABFE
->,Q312358,Adolfo Rodríguez Saá,Q44818,San Luis,2017-12-20->2017-12-10,,Q312358-0C4A648B-3209-428A-AAD3-796FD88FE6BB
->,Q8195420,Alfredo de Angeli->Alfredo Luis de Angeli,Q44762,Entre Ríos,2013-12-10,2019-12-09,Q8195420-8C8FF5AE-D504-46BE-8845-3ACC8CBD6864
->,Q185107,Carlos Menem->Carlos Saúl Menem,Q44796,La Rioja,2017-12-10,2021-02-14,Q185107-b82ac958-4a9b-231b-25b2-19670688782a
->,Q4838522,Claudio Poggi->Claudio Javier Poggi,Q44818,San Luis,2017-12-10,2019-12-09,Q4838522-03E3EBEA-FFB6-48AC-87C8-63DBD28C6E74
->,Q40649,Cristina Fernández de Kirchner->Cristina Elisabet Fernández de Kirchner,Q44754,Buenos Aires,2017-12-10,2019-12-10->2019-12-09,Q40649-5CE30957-86EC-44E5-B6FB-F2FA742CE990
->,Q47108965,Cristina López Valverde->Cristina del Carmen López Valverde,Q44805,San Juan,2017-12-10,,Q47108965-5A947489-B5DF-486A-92C5-9E741611826F
->,Q5400763,Esteban Bullrich->Esteban José Bullrich,Q44754,Buenos Aires,2017-12-10,2021-12-09,Q5400763-4B5F995F-1A57-465B-9FD7-8C66480C99EF
->,Q18711897->Q85870200,Gerardo Antenor Montenegro,Q44827,Santiago del Estero,2013-12-10,NULL->2019-12-09,Q18711897-5A33FA60-8FFA-4D6E-AE6C-1433D5921C0B
->,Q20015265,Gladys González->Gladys Esther González,Q44754,Buenos Aires,2017-12-10->2017-12-27,,Q20015265-47D55D4E-5316-443E-81E2-42931471AB5D
->,Q21856278,Guillermo Snopek->Guillermo Eugenio Mario Snopek,Q44764,Jujuy,2017-12-10,,Q21856278-CA702BB7-757B-4061-BEB4-A7DB22BD16EA
->,Q11682645,Humberto Schiavoni->Humberto Luis Arturo Schiavoni,Q44798,Misiones,2017-12-10,,Q11682645-F02BEC65-9BB9-464A-BD70-D57D042E9B71
->,Q18711914,Inés Blas->Inés Imelda Blas,Q44756,Catamarca,2011-12-10->2015-12-10,2021-12-09,Q18711914-4EFBA9AE-E5D0-456E-9FED-8886081A087D
->,Q4122225,José Alperovich->José Jorge Alperovich,Q44829,Tucumán,2015-12-10,2021-12-09,Q4122225-3690AC40-5278-4930-B8B4-B4BC1199B88E
->,Q6299395,Juan Carlos Romero,Q44803,Salta,2007-12-10->2013-12-10,NULL->2019-12-09,Q6299395-15843dc9-4087-9548-87b1-c0f854fe9606
->,Q5955126,Julio Catalán Magni->Julio César Catalán Magni,Q44832,Tierra del Fuego,2013-12-10,2019-12-09,Q5955126-7CAC924B-0662-4734-AB68-CFCB0AB5911F
->,Q456351,Julio Cobos->Julio César Cleto Cobos,Q44797,Mendoza,2015-12-10,2021-12-09,Q456351-0116D1B7-9CE0-43CC-9F37-E267F3875E93
+++,Q21591711,Julio César Martínez,Q44796,La Rioja,2017-12-10,,
->,Q23807442,Laura Rodríguez Machado->Laura Elena Rodríguez Machado,Q44759,Córdoba,2015-12-10,2021-12-09,Q23807442-D2143ADE-F15E-4B15-84FE-CDBC093C5674
->,Q6700989,Luis Petcoff Naidenoff->Luis Carlos Petcoff Naidenoff,Q44761,Formosa,2017-12-10,,Q6700989-1D5BAC77-1E96-4737-BCE4-24BC8E76B67E
->,Q16301366,Magdalena Odarda->María Magdalena Odarda,Q44802,Río Negro,2013-12-10,2019-12-09,Q16301366-214F444F-4647-4F16-B3CA-0B3BA0E8ECFC
->,Q5995804,Marcelo Fuentes->Marcelo Jorge Fuentes,Q44800,Neuquén,2013-12-10,2019-12-09,Q5995804-60137AC9-69AD-4B30-840F-096D11091A13
->,Q18711917,Maria Cristina del Valle Fiore Viñuales->María Cristina del Valle Fiore Viñuales,Q44803,Salta,2013-12-10,2019-12-09,Q18711917-E55EAD94-A091-458E-B41D-2DD55A8E1937
->,Q27309047,María de los Ángeles Sacnún->María de los Ángeles Sacnun,Q44823,Santa Fe,2015-12-10,2021-12-09,Q27309047-e777c29a-4d14-d933-8569-81d2301189df
