@@,item,name,region,regionlabel,startdate,enddate,psid
->,Q4838458,Maurice Closs->Maurice Fabián Closs,Q44798,Misiones,2017-12-10,,Q4838458-26B18B7B-ECA0-4B9A-8B97-79E4AEE4D28A
->,Q1932735,Miguel Ángel Pichetto,Q44802,Río Negro,2001-12-10->2013-12-10,2019-12-09,Q1932735-FC4C0630-5B83-4EAE-A4CF-6445A429B449
->,Q41658592,Miriam Ruth Boyadjian,Q44832,Tierra del Fuego,2013-12-10->2015-09-16,2019-12-09,Q41658592-F4778B70-3CA2-44DB-87D4-F6F0AC8101CF
->,Q6049818,Olga Inés Brizuela y Doria->Olga Inés Brizuela y Doria de Cara,Q44796,La Rioja,2017-12-10,2019-12-10->2019-12-09,Q6049818-9EDFBE8F-BD98-4D63-87E5-37E28662F577
->,Q20015616,Omar Perotti->Omar Ángel Perotti,Q44823,Santa Fe,2015-12-10,2019-12-10->2019-12-09,Q20015616-619DC115-597A-4B47-AC14-2C59F2665DBC
->,Q7105913,Oscar Castillo->Oscar Aníbal Castillo,Q44756,Catamarca,2015-12-10,2021-12-09,Q7105913-4E737AD8-9032-4D34-AA4B-05FF1733C569
->,Q6068353,Pedro Braillard Poccard->Néstor Pedro Braillard Poccard,Q44758,Corrientes,2015-12-10,2021-12-09,Q6068353-6E951952-0835-4F90-AC17-EC3B2CA8BF87
->,Q508497,"Pino Solanas->Fernando Ezequiel ""Pino"" Solanas",Q1486,Ciudad de Buenos Aires,2013-12-10,2019-12-09,Q508497-017BEBC7-6C6F-47B6-80EA-7F3EF7BD133C
->,Q7351592,Roberto Basualdo->Roberto Gustavo Basualdo,Q44805,San Juan,2017-12-10,,Q7351592-56789966-4556-4CF8-8035-017E29388ABF
->,Q16302727,Rodolfo Urtubey->Rodolfo Julio Urtubey,Q44803,Salta,2013-12-10,2019-12-09,Q16302727-3290723B-AE42-45A4-BF12-9A5C2955210C
->,Q18711918,Sigrid Elisabeth Kunath,Q44762,Entre Ríos,2013-12-10,2019-12-10->2019-12-09,Q18711918-4CAAB6B8-C119-40DE-A2D3-B85310005C29
->,Q9077444,Silvina García Larraburu->Silvina Marcela García Larraburu,Q44802,Río Negro,2013-12-10,2019-12-09,Q9077444-A2CAEA60-9F9B-4275-9E77-3DE4B2C24D98
