item,name,party,partyLabel,region,regionLabel,startDate,endDate,psid
Q1042890,Carlos Mauricio Espínola,Q1072438,Frente para la Victoria,Q44758,Provincia de Corrientes,2015-12-10,2021-12-10,Q1042890-2fe54831-48c5-b622-41bd-5c6e30b46403
Q11682645,Humberto Schiavoni,Q20749344,Cambiemos,Q44798,Provincia de Misiones,2017-12-10,,Q11682645-F02BEC65-9BB9-464A-BD70-D57D042E9B71
Q16301366,Magdalena Odarda,Q41557258,Alianza Frente Progresista,Q44802,Provincia de Río Negro,2013-12-10,2019-12-09,Q16301366-214F444F-4647-4F16-B3CA-0B3BA0E8ECFC
Q16302727,Rodolfo Urtubey,Q1072438,Frente para la Victoria,Q44803,Provincia de Salta,2013-12-10,2019-12-09,Q16302727-3290723B-AE42-45A4-BF12-9A5C2955210C
Q173238,Carlos Alberto Reutemann,Q20749344,Cambiemos,Q44823,Provincia de Santa Fe,2015-12-10,2021-07-07,Q173238-A1BA2CB0-8FA8-4259-9758-5E2BDE1ED926
Q185107,Carlos Menem,Q47439490,Frente Justicalista Riojano,Q44796,Provincia de La Rioja,2017-12-10,2021-02-14,Q185107-b82ac958-4a9b-231b-25b2-19670688782a
Q18711852,Eduardo Alberto Aguilar,Q1072438,Frente para la Victoria,Q44757,Provincia del Chaco,2013-12-10,2019-12-09,Q18711852-E45D4483-08CC-422B-A1E7-50A2C23EF7B5
Q18711889,Guillermo Juan Pereyra,Q7002024,Movimiento Popular Neuquino,Q44800,Provincia de Neuquén,2013-12-10,2019-12-09,Q18711889-DA17AA65-6CB0-4FE4-A192-84BCA69E97B1
Q18711897,Gerardo Antenor Montenegro,Q41653620,Frente Popular,Q44827,Provincia de Santiago del Estero,2013-12-10,2019-12-09,Q18711897-5A33FA60-8FFA-4D6E-AE6C-1433D5921C0B
Q18711909,Silvia Beatriz Elías de Pérez,Q20749344,Cambiemos,Q44829,Provincia de Tucumán,2015-12-10,2021-12-09,Q18711909-50A2E805-D26B-4EE8-A276-693DE35DD113
Q18711914,Inés Blas,Q1072438,Frente para la Victoria,Q44756,Provincia de Catamarca,2011-12-10,2021-12-09,Q18711914-4EFBA9AE-E5D0-456E-9FED-8886081A087D
Q18711917,Maria Cristina del Valle Fiore Viñuales,Q1072438,Frente para la Victoria,Q44803,Provincia de Salta,2013-12-10,2019-12-09,Q18711917-E55EAD94-A091-458E-B41D-2DD55A8E1937
Q18711918,Sigrid Elisabeth Kunath,Q1072438,Frente para la Victoria,Q44762,Provincia de Entre Ríos,2013-12-10,2019-12-10,Q18711918-4CAAB6B8-C119-40DE-A2D3-B85310005C29
Q18711932,Carmen Lucila Crexell,Q7002024,Movimiento Popular Neuquino,Q44800,Provincia de Neuquén,2013-12-10,2019-12-09,Q18711932-45E75967-AF70-47DE-AAE0-631746E302A5
Q1932735,Miguel Ángel Pichetto,Q1072438,Frente para la Victoria,Q44802,Provincia de Río Negro,2001-12-10,2019-12-09,Q1932735-FC4C0630-5B83-4EAE-A4CF-6445A429B449
Q20015265,Gladys González,Q20749344,Cambiemos,Q44754,Provincia de Buenos Aires,2017-12-10,,Q20015265-47D55D4E-5316-443E-81E2-42931471AB5D
Q20015616,Omar Perotti,Q1053668,Partido Justicialista,Q44823,Provincia de Santa Fe,2015-12-10,2019-12-10,Q20015616-619DC115-597A-4B47-AC14-2C59F2665DBC
Q21591711,Julio César Martínez,,,Q44796,Provincia de La Rioja,2017-12-10,,Q21591711-4F82B347-D129-4FAD-8CB0-0B0F8E60B225
Q21856278,Guillermo Snopek,Q47109065,Frente Justicalista,Q44764,Provincia de Jujuy,2017-12-10,,Q21856278-CA702BB7-757B-4061-BEB4-A7DB22BD16EA
Q23807442,Laura Rodríguez Machado,Q20749344,Cambiemos,Q44759,Provincia de Córdoba,2015-12-10,2021-12-09,Q23807442-D2143ADE-F15E-4B15-84FE-CDBC093C5674
Q27307792,Pamela Fernanda Verasay,Q20749344,Cambiemos,Q44797,Provincia de Mendoza,2015-12-10,2021-12-09,Q27307792-01A3C026-50BD-49D3-8F37-BB760A17E7EF
Q27308136,Marta Varela,Q1507720,Propuesta Republicana,Q1486,Buenos Aires,2016-02-11,2019-12-09,Q27308136-008e5de0-4f3f-23b0-1082-24b5d10bed2d
Q27309047,María de los Ángeles Sacnún,Q1072438,Frente para la Victoria,Q44823,Provincia de Santa Fe,2015-12-10,2021-12-09,Q27309047-e777c29a-4d14-d933-8569-81d2301189df
Q27640049,Ernesto Félix Martínez,Q20749344,Cambiemos,Q44759,Provincia de Córdoba,2015-12-10,2021-12-09,Q27640049-3A151467-61E2-441F-B203-BEF1D3A3F8EC
Q312358,Adolfo Rodríguez Saá,Q47109387,Frente Unidad Justicalista San Luis,Q44818,Provincia de San Luis,2017-12-20,,Q312358-0C4A648B-3209-428A-AAD3-796FD88FE6BB
Q40649,Cristina Fernández de Kirchner,Q30841057,Unidad Ciudadana,Q44754,Provincia de Buenos Aires,2017-12-10,2019-12-10,Q40649-5CE30957-86EC-44E5-B6FB-F2FA742CE990
Q4122225,José Alperovich,Q1072438,Frente para la Victoria,Q44829,Provincia de Tucumán,2015-12-10,2021-12-09,Q4122225-3690AC40-5278-4930-B8B4-B4BC1199B88E
Q41587390,Carlos Alberto Caserio,Q41629046,Alianza Unión por Córdoba,Q44759,Provincia de Córdoba,2015-12-10,2021-12-09,Q41587390-1157F39E-999D-4DA7-9AAE-88ED7A25BE6A
Q41587454,Mario Raymundo Fiad,Q20749344,Cambiemos,Q44764,Provincia de Jujuy,2017-12-10,,Q41587454-B93ED767-CC48-4891-BDF7-2EB6F2021FA5
Q41658526,Ana Claudia Almirón,Q1072438,Frente para la Victoria,Q44758,Provincia de Corrientes,2015-12-10,2021-12-09,Q41658526-755680EC-E4E0-4E8C-AFCC-58AC7E2128D4
Q41658530,Anabel Fernández Sagasti,Q1072438,Frente para la Victoria,Q44797,Provincia de Mendoza,2015-12-10,2021-12-10,Q41658530-EDB225A3-2E62-4000-A547-3354D561D624
Q41658534,Beatriz Graciela Mirkin,Q64590596,Frente de Todos,Q44829,Provincia de Tucumán,2015-12-10,2021-12-09,Q41658534-E0185BB3-62AE-4E9B-A59C-BB09CB0C55EA
Q41658537,Dalmacio Mera Figueroa,Q1072438,Frente para la Victoria,Q44756,Provincia de Catamarca,2015-12-10,2021-12-09,Q41658537-BEBC2523-E568-410F-A24B-DC2B3D099BF9
Q41658542,Daniel Aníbal Lovera,Q1072438,Frente para la Victoria,Q44795,Provincia de La Pampa,2015-12-10,2021-12-09,Q41658542-D9F01C87-AA3E-4651-938D-1F466D3B7F8D
Q41658546,José Anatolio Ojeda,Q1072438,Frente para la Victoria,Q44832,"Provincia de Tierra del Fuego, Antártida e islas del Atlántico Sur",2015-12-10,2019-12-09,Q41658546-281ED7F3-CAF1-401F-94AA-58A56FA6AA7C
Q41658550,Juan Mario Pais,Q1072438,Frente para la Victoria,Q45007,Provincia del Chubut,2015-12-10,2021-12-09,Q41658550-F94AD828-48ED-4E15-BFD8-2E0C006368EA
Q41658558,María Teresa Margarita González,Q1072438,Frente para la Victoria,Q44761,Provincia de Formosa,2017-12-10,,Q41658558-953E0024-C793-4A98-8ADA-9E9F52807EE0
Q41658560,Nancy Susana González,Q1072438,Frente para la Victoria,Q45007,Provincia del Chubut,2015-12-10,2021-12-09,Q41658560-B7B2CE90-236F-4166-A116-CBC20848EEE3
Q41658565,Norma Haydée Durango,Q1072438,Frente para la Victoria,Q44795,Provincia de La Pampa,2015-12-10,2021-12-09,Q41658565-EE703C66-C055-428A-9B79-AA27FF8495BC
Q41658575,Silvia del Rosario Giacoppo,Q20749344,Cambiemos,Q44764,Provincia de Jujuy,2017-12-10,,Q41658575-DE70FB6E-62EE-4DDB-8C65-141202A34A5A
Q41658584,Alfredo Héctor Luenzo,Q26258776,Chubut Somos Todos,Q45007,Provincia del Chubut,2015-12-10,2021-12-09,Q41658584-B3AB17DF-2417-44F0-B4D7-16F8AC104285
Q41658592,Miriam Ruth Boyadjian,Q5507109,Movimiento Popular Fueguino,Q44832,"Provincia de Tierra del Fuego, Antártida e islas del Atlántico Sur",2013-12-10,2019-12-09,Q41658592-F4778B70-3CA2-44DB-87D4-F6F0AC8101CF
Q456351,Julio Cobos,Q20749344,Cambiemos,Q44797,Provincia de Mendoza,2015-12-10,2021-12-09,Q456351-0116D1B7-9CE0-43CC-9F37-E267F3875E93
Q4678262,Ada Itúrrez de Cappellini,Q3088428,Frente Cívico por Santiago,Q44827,Provincia de Santiago del Estero,2013-12-10,2019-12-09,Q4678262-AAB5DDC8-CEA8-4E5F-AF60-C9D8A665ABFE
