item,name,region,regionLabel,party,partyLabel,startDate,endDate
Q5400763,Esteban José Bullrich,Q44754,Buenos Aires,Q1507720,Frente PRO,2017-12-10,
Q40649,Cristina Elisabet Fernández de Kirchner,Q44754,Buenos Aires,Q1072438,Frente para la Victoria-PJ,2017-12-10,2019-12-09
Q20015265,Gladys Esther González,Q44754,Buenos Aires,Q1507720,Frente PRO,2017-12-27,
Q18711914,Inés Imelda Blas,Q44756,Catamarca,Q1053668,Justicialista,2015-12-10,
Q7105913,Oscar Aníbal Castillo,Q44756,Catamarca,Q5124351,Frente Cívico y Social de Catamarca,2015-12-10,
Q41658537,Dalmacio Mera Figueroa,Q44756,Catamarca,Q1053668,Justicialista,2015-12-10,
Q18711852,Eduardo Alberto Aguilar,Q44757,Chaco,Q1053668,Justicialista,2013-12-10,2019-12-09
Q6003917,María Inés Pilatti Vergara,Q44757,Chaco,Q1072438,Frente para la Victoria-PJ,2013-12-10,2019-12-09
Q591796,Ángel Rozas,Q44757,Chaco,Q123585,Unión Cívica Radical,2013-12-10,2019-12-09
Q41658560,Nancy Susana González,Q45007,Chubut,Q1072438,Frente para la Victoria-PJ,2015-12-10,
Q41658584,Alfredo Héctor Luenzo,Q45007,Chubut,Q26258776,Chubut Somos Todos,2015-12-10,
Q41658550,Juan Mario Pais,Q45007,Chubut,,"",2015-12-10,
Q5857789,Federico Pinedo,Q1486,Ciudad de Buenos Aires,Q1507720,Frente PRO,2015-12-10,2019-12-09
Q508497,"Fernando Ezequiel ""Pino"" Solanas",Q1486,Ciudad de Buenos Aires,Q7252913,Proyecto SurUNEN,2013-12-10,2019-12-09
Q27308136,Marta Varela,Q1486,Ciudad de Buenos Aires,Q1507720,Frente PRO,2016-02-11,2019-12-09
Q41587390,Carlos Alberto Caserio,Q44759,Córdoba,Q1053668,Justicialista,2015-12-10,
Q27640049,Ernesto Félix Martínez,Q44759,Córdoba,Q1507720,Frente PRO,2015-12-10,
Q23807442,Laura Elena Rodríguez Machado,Q44759,Córdoba,Q1507720,Frente PRO,2015-12-10,
Q41658526,Ana Claudia Almirón,Q44758,Corrientes,Q1072438,Frente para la Victoria-PJ,2015-12-10,
Q6068353,Néstor Pedro Braillard Poccard,Q44758,Corrientes,Q1507720,Frente PRO,2015-12-10,
Q1042890,Carlos Mauricio Espínola,Q44758,Corrientes,Q1053668,Justicialista,2015-12-10,
Q8195420,Alfredo Luis de Angeli,Q44762,Entre Ríos,Q1507720,Frente PRO,2013-12-10,2019-12-09
Q6069019,Pedro Guillermo Ángel Guastavino,Q44762,Entre Ríos,Q1053668,Justicialista,2013-12-10,2019-12-09
Q18711918,Sigrid Elisabeth Kunath,Q44762,Entre Ríos,Q1053668,Justicialista,2013-12-10,2019-12-09
Q41658558,María Teresa Margarita González,Q44761,Formosa,Q1053668,Justicialista,2017-12-10,
Q6293394,José Miguel Ángel Mayans,Q44761,Formosa,Q1053668,Justicialista,2017-12-10,
Q6700989,Luis Carlos Petcoff Naidenoff,Q44761,Formosa,Q123585,Unión Cívica Radical,2017-12-10,
Q41587454,Mario Raymundo Fiad,Q44764,Jujuy,Q123585,Unión Cívica Radical,2017-12-10,
Q41658575,Silvia del Rosario Giacoppo,Q44764,Jujuy,Q123585,Unión Cívica Radical,2017-12-10,
Q21856278,Guillermo Eugenio Mario Snopek,Q44764,Jujuy,Q1053668,Justicialista,2017-12-10,
Q41658565,Norma Haydée Durango,Q44795,La Pampa,,"",2015-12-10,
