@@,itemlabel,item,startdate,enddate
+++,Pedro Castex Lainfor,Q22639386,1945,1946
+++,Oscar Muratorio,Q22639385,1945,1945
+++,Edmundo Sustaita,Q22639382,1945,1945
+++,Oscar Muratorio,Q22639385,1946,1951
+++,Gustavo Hermansson,Q22230766,1951,1952
+++,Carlos Mauriño,Q22230764,1952,1955
+++,Gustavo Hermansson,Q22230766,1955,1956
+++,Juan Fabri,Q22230765,1955,1955
+++,Heriberto Ahrens,Q20970111,1956,1957
+++,Alfredo Vedoya,Q20986361,1957,1958
+++,Ángel Peluffo,Q20986360,1957,1957
+++,Guillermo Zinny,Q20970088,1957,1957
+++,Miguel Moragues,Q16607292,1958,1958
+++,Manuel Alemán,Q16145367,1958,1960
+++,Cayo Alsina,Q16145749,1960,1962
+++,Carlos Armanini,Q5749729,1962,1966
+++,Adolfo Álvarez,Q596309,1966,1968
+++,Jorge Martínez Zuviría,Q5935580,1968,1970
+++,Carlos Rey,Q5751516,1970,1973
+++,Héctor Fautario,Q5696677,1973,1975
+++,Orlando Agosti,Q493420,1975,1979
+++,Omar Graffigna,Q7089701,1979,1981
+++,Basilio Lami Dozo,Q2886883,1981,1982
+++,Augusto Hughes,Q4821292,1982,1983
+++,Teodoro Waldner,Q7701098,1983,1985
+++,Ernesto Crespo,Q3732262,1985,1989
+++,José Juliá,Q5843221,1989,1993
+++,Juan Paulik,Q5951948,1993,1996
+++,Rubén Montenegro,Q6113310,1996,1999
+++,Walter Barbero,Q6166169,1999,2003
+++,Carlos Rohde,Q5751612,2003,2005
+++,Eduardo Schiaffino,Q5819717,2005,2006
+++,Normando Costantino,Q2837184,2006,2013
+++,Mario Callejo,Q16298048,2013,2016
+++,Enrique Amrein,Q22230762,2016,2020
->,Xavier Isaac,Q86458161,2020-02-28->2020,
