item,itemLabel,startDate,endDate,sourceDate,psid
Q5932407,Joaquín Stella,1999-12-13,2003-06-06,,Q5932407-FFC12A7D-4EDE-4C29-819D-462175453667
Q5935181,Jorge Godoy,2003-06-06,2011-12-22,,Q5935181-42075895-A7EF-41E9-903B-8AA4091B62DA
Q5751313,Carlos Paz,2011-12-22,2012-10-15,,Q5751313-5B9F88FA-47F4-4D0A-ABB9-F553AC2D0B03
Q5798525,Daniel Martin,2012-10-15,2013-07-03,,Q5798525-0470B344-5B0E-498A-828E-596DA4BCF39A
Q16299011,Gastón Erice,2013-07-03,2016-01-14,,Q16299011-EA809C52-8AA1-4D80-8953-755D2897B7FC
Q22230767,Marcelo Srur,2016-01-14,2017-12-18,,Q22230767-00CFB615-A433-4DA2-943B-3BEB022C2FA6
Q46155959,José Luis Villán,2017-12-18,2020-02-28,,Q46155959-0a16fb48-4625-bd5d-5151-1f3b49d4fe1e
Q86449413,Julio Horacio Guardia,2020-02-28,,,Q86449413-1fb1e01c-44d3-f25f-40bc-381adb3fda79
