@@,itemlabel,item,startdate,enddate
+++,Jorge Ruiz Aguilar,,1985-12-07,1987-12-10
->,Carlos Enrique Gómez Centurión->Carlos EnriqueGómez Centurión,Q17624242,1987-12-10,1991-12-10
->,Adalberto Escobar->Jorge Escobar,Q17453236,1991-12-10,1992-12-17
+++,Juan Rojas,,1992-12-17,1994-12-28
->,Adalberto Escobar->Jorge Escobar,Q17453236,1994-12-28,1999-12-10
