@@,itemlabel,item,startdate,enddate
+++,José Arturo Estabillo,Q5938352,1992-01-10,1996-01-10
+++,José Arturo Estabillo,Q5938352,1996-01-10,1997-11-04
+++,Miguel Ángel Castro,Q77866636,1997-11-04,1997-12-10
+++,José Arturo Estabillo,Q5938352,1997-12-10,2000-01-10
+++,Carlos Manfredotti,Q17624268,2000-01-10,2004-01-10
+++,Mario Jorge Colazo,Q6277842,2004-01-10,2005-12-02
+++,Hugo Cóccaro,Q367833,2005-09-10,2005-12-02
+++,Hugo Cóccaro,Q367833,2005-12-02,2007-12-17
+++,Fabiana Ríos,Q4838844,2007-12-17,2011-12-17
+++,Fabiana Ríos,Q4838844,2011-12-17,2015-12-17
+++,Rosana Bertone,Q16297791,2015-12-17,2019-12-10
+++,Juan Carlos Arcando,Q60215310,2019-12-10,2019-12-17
