item,itemLabel,startDate,endDate
Q84498098,Guillermo Enrique González,2000-01-25,""
Q25983942,Diego Ramiro Guelar,2002-02-13,""
Q5818962,Eduardo Amadeo,2003-01-02,""
Q5575797,José Octavio Bordón,2003-07-21,""
Q58073,Héctor Timerman,2008-03-13,""
Q4723740,Alfredo Chiaradía,2010-11-01,""
Q6277681,Jorge Argüello,2012-01-05,""
Q21855134,Maria Cecilia Nahón,2013-02-19,2015-12-10
Q6553522,Martín Lousteau,2015-12-10,""
Q42609962,Fernando Oris de Roa,2018-01-11,2019-12-10
Q6277681,Jorge Argüello,2020-02-06,""
