@@,item,itemlabel,startdate,enddate
+++,Q84498098,Guillermo Enrique González,2000-01-25,
->,Q5575797,José Octavio Bordón,2003-05-25->2003-07-21,2007-12-10
->,Q58073,Héctor Timerman,2007-12-10->2008-03-13,2010-06-18
->,Q4723740,Alfredo Chiaradía,2010-12-10->2010-11-01,2011-12-01
---,Q6277681,Jorge Argüello,2011-12-01,2013-01-08
+++,Q6277681,Jorge Argüello,2012-01-05,
---,Q6277681,Jorge Argüello,2019-12-10,
+++,Q6277681,Jorge Argüello,2020-02-06,
