name,position
Dr. Alberto Ángel FERNÁNDEZ,Presidencia de la Nación
Dra. Cristina Elisabet FERNÁNDEZ DE KIRCHNER,Vicepresidencia de la Nación
Dr. Juan Luis MANZUR,Jefatura de Gabinete de Ministros
Dr. Julián Andrés DOMÍNGUEZ,"Ministerio de Agricultura, Ganadería y Pesca"
Lic. Juan CABANDIÉ,Ministerio de Ambiente y Desarrollo Sostenible
Lic. Daniel Fernando FILMUS,"Ministerio de Ciencia, Tecnología e Innovación"
Prof. Tristán BAUER,Ministerio de Cultura
Lic. Jorge Enrique TAIANA,Ministerio de Defensa
Sr. Daniel Osvaldo SCIOLI,Ministerio de Desarrollo Productivo
Sr. Juan Horacio ZABALETA,Ministerio de Desarrollo Social
Ing. Jorge Horacio FERRARESI,Ministerio de Desarrollo Territorial y Hábitat
Lic. Silvina Aida BATAKIS,Ministerio de Economía
Lic. Jaime PERCZYK,Ministerio de Educación
Dr. Eduardo Enrique DE PEDRO,Ministerio del Interior
Dr. Martín Ignacio SORIA,Ministerio de Justicia y Derechos Humanos
Dra. Elizabeth Victoria GÓMEZ ALCORTA,"Ministerio de las Mujeres, Géneros y Diversidad"
Dr. Gabriel Nicolás KATOPODIS,Ministerio de Obras Públicas
Lic. Santiago Andrés CAFIERO,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto"
Dra. Carla VIZZOTTI,Ministerio de Salud
Cdor. y Dr. Aníbal Domingo FERNÁNDEZ,Ministerio de Seguridad
Dr. Claudio Omar MORONI,"Ministerio de Trabajo, Empleo y Seguridad Social"
Sr. Alexis Raúl GUERRERA,Ministerio de Transporte
Dr. Matías Daniel LAMMENS NÚÑEZ,Ministerio de Turismo y Deportes
