@@,itemlabel,item,startdate,enddate
+++,Carlos Snopek,,1983-12-10,1987-12-10
+++,Ricardo de Aparici,Q6108573,1987-12-10,1990-11-07
+++,Eduardo Alderete,,1990-11-07,1991-12-10
+++,Ricardo Domínguez,Q7322617,1991-12-10,1993-06-01
+++,Carlos Ficoseco,,1993-06-01,1994-04-15
+++,Oscar Perassi,,1994-04-15,1995-12-10
+++,Guillermo E. Snopek,,1995-12-10,1996-02-25
+++,Carlos Ferraro,,1996-02-25,1998-11-26
+++,Eduardo Fellner,Q4838179,1998-11-26,2007-12-10
+++,Walter Barrionuevo,Q7964257,2007-12-10,2011-12-10
+++,Eduardo Fellner,Q4838179,2011-12-10,2015-12-10
