item,itemLabel,position,positionLabel,start,psid
Q105969717,Martín Soria,Q28503295,minister of Justice and Human Rights of Argentina,2021-03-29,Q105969717-a87eaa51-4c0d-1afc-dbbb-633539c49b44
Q106674728,Alexis Guerrera,Q108550600,Minister of Transport,2021-05-03,Q106674728-538C35FB-5594-4B38-877D-054403BFFED4
Q108578670,Jaime Perczyk,Q28149889,Minister of Education of Argentina,2021-09-20,Q108578670-987C3D92-8F1A-4155-A2E4-9F3BF07E3639
Q12164058,Eduardo de Pedro,Q108550461,Minister of the Interior,2019-12-10,Q12164058-3e2309e3-4c0f-8d9b-c2bc-97be16b0b73f
Q17635667,Juan Zabaleta,Q108550607,Minister of Social Development,2021-08-10,Q17635667-DC238605-8D9F-4C43-B001-5D6494618143
Q2454290,Tristán Bauer,Q108550593,Minister of Culture,2019-12-10,Q2454290-6524C72C-AE67-417E-86B0-CC39E5E1D7E1
Q2642828,Alberto Fernández,Q12969145,President of Argentina,2019-12-10,Q2642828-cd35cf43-4f87-5a3c-8bbd-e6dd90133e8e
Q2844048,Gabriel Katopodis,Q108550488,Minister of Public Works,2019-12-10,Q2844048-2F03B34B-36D9-426A-BC3A-1345B73008CE
Q2857937,Aníbal Fernández,Q41585603,Minister of Security,2021-09-20,Q2857937-4B1262EE-47A2-4BB7-9301-34FAD855BA95
Q30331229,Matías Kulfas,Q28146983,Minister of Production,2019-12-10,Q30331229-FEBA3248-F455-432E-AA51-C156DDC26D4A
Q41555918,Norman Dario Martinez,Q110421610,Secretary of Energy,2020-08-21,Q41555918-F197A4DE-1EBC-42C7-A3D7-47B16D815650
Q5217139,Daniel Filmus,Q78281209,"Minister of Science, Technology and Innovation",2021-09-20,Q5217139-674BAA0D-CFD6-4808-9526-1212557C446B
Q5474594,Julián Domínguez,Q29582802,Minister of Agriculture of Argentina,2021-09-20,Q5474594-B78A026E-F694-45DE-8C25-A2856BA4AB03
Q5935055,Jorge Ferraresi,Q108550549,Minister of Territorial Development and Habitat,2020-11-11,Q5935055-1EED512F-EBB3-48D4-9EE5-BCA316755479
Q5948039,Juan Cabandié,Q41153369,Minister of the Environment and Sustainable Development,2019-12-10,Q5948039-4DF05D3D-4AD9-45D4-BC68-F6CD097837CF
Q6006648,Matías Lammens,Q108550507,Minister of Tourism and Sports,2019-12-10,Q6006648-B2AD03C4-3FD7-4F86-B57A-A10AE9E245B5
Q6300262,Juan Manzur,Q2602792,Chief of the Cabinet of Ministers of Argentina,2021-09-20,Q6300262-5922969f-4c70-33a9-73f8-03a79dbb32dc
Q68869954,Santiago Cafiero,Q108550536,Minister of Foreign Affairs and Worship,2021-09-20,Q68869954-5a789625-4213-452d-9a9f-3bc162008466
Q70873898,Claudio Moroni,Q28146978,Minister of Labour,2019-12-10,Q70873898-70744F0C-5C18-4636-95C0-6C8BF975B210
Q721561,Jorge Taiana,Q24258967,Minister of Defence,2021-08-10,Q721561-FBAE1DC9-ED1F-48B8-9814-05D45D0B1F19
Q77432169,Elizabeth Gómez Alcorta,Q78280470,"Minister of Women, Genders and Diversity",2019-12-10,Q77432169-778448e5-41dd-8e4c-a5fb-e31d5b172e08
Q77605455,Martín Guzmán,Q108550498,Minister of Economy,2019-12-10,Q77605455-9F5636E1-CCD1-48FB-9FFF-4BC1A3D51F61
Q93147520,Carla Vizzotti,Q28504123,Minister of Health,2021-02-20,Q93147520-67b0069d-4161-7ab2-d349-80e9f21e1e0a
Q40649,Cristina Fernández de Kirchner,Q2914766,Vice President of Argentina,2019-12-10,Q40649-ef57ddee-4ce4-a79b-f832-c94aba566ce8
