item,name,party,partyLabel,region,regionLabel,startDate,endDate,psid
Q1042890,Carlos Mauricio Espínola,Q64590596,Frente de Todos,Q44758,Provincia de Corrientes,2021-12-10,,Q1042890-a8a4f610-4470-f499-5132-15e0d1eda9b8
Q104433320,Ignacio Agustín Torres,Q1507720,Propuesta Republicana,Q45007,Provincia del Chubut,2021-12-10,,Q104433320-218dd8f5-40f2-af02-6306-7bbe3fba1eea
Q104696491,Pablo Daniel Blanco,Q123585,Unión Cívica Radical,Q44832,"Provincia de Tierra del Fuego, Antártida e islas del Atlántico Sur",2019-12-10,,Q104696491-9d775042-44b7-b7c0-72bb-dead3990cd23
Q105902993,Carolina Losada,Q123585,Unión Cívica Radical,Q44823,Provincia de Santa Fe,2021-12-10,,Q105902993-636542e3-47ff-9015-10a8-2853029350f4
Q108540628,Ricardo Antonio Guerra,Q64590596,Frente de Todos,Q44796,Provincia de La Rioja,2021-02-24,,Q108540628-a4366052-48bb-00bb-24cf-38eccba1a0f0
Q108540638,Stella Maris Elisa Olalla de Moreira,Q123585,Unión Cívica Radical,Q44762,Provincia de Entre Ríos,2019-12-10,,Q108540638-9c3e85af-420d-18bc-a90c-8abb01a23b89
Q108540647,María Eugenia Duré,Q64590596,Frente de Todos,Q44832,"Provincia de Tierra del Fuego, Antártida e islas del Atlántico Sur",2019-12-10,,Q108540647-61868612-4d8e-f6ca-b198-2523c8cf4e2c
Q110058594,Dionisio Fernando Scarpín,Q123585,Unión Cívica Radical,Q44823,Provincia de Santa Fe,2021-12-10,,Q110058594-29a2a71c-48b1-67ce-3fcf-6bb640832a2a
Q110062469,Carlos Alberto Linares,Q64590596,Frente de Todos,Q45007,Provincia del Chubut,2021-12-10,,Q110062469-dcbe04fc-472a-ba46-fdf2-1a57b6c0339e
Q110070958,Flavio Sergio Fama,Q123585,Unión Cívica Radical,Q44756,Provincia de Catamarca,2021-12-10,,Q110070958-9478b706-4916-adab-dbf1-0209d9f05cc8
Q110071083,Guillermo Eduardo Andrada,Q64590596,Frente de Todos,Q44756,Provincia de Catamarca,2021-12-10,,Q110071083-94dd0951-451d-8b7e-1cbc-a2735920022c
Q110071139,Antonio José Rodas,Q64590596,Frente de Todos,Q44757,Provincia del Chaco,2019-12-10,,Q110071139-2cb0aa79-4e2e-2707-0109-26d660cd12aa
Q110071179,Víctor Zimmermann,Q123585,Unión Cívica Radical,Q44757,Provincia del Chaco,2019-12-10,,Q110071179-a0b63622-4446-64fc-220e-e5c144333752
Q110071482,Edith Elizabeth Terenzi,Q123585,Unión Cívica Radical,Q45007,Provincia del Chubut,2021-12-10,,Q110071482-7a4eb52d-4daf-7d24-8735-33f8e336b681
Q110071905,Carmen Álvarez Rivero,Q1507720,Propuesta Republicana,Q44759,Provincia de Córdoba,2021-12-10,,Q110071905-c8f1e75a-4fd7-74c3-a410-ca6685e304c0
Q110072156,Mercedes Gabriela Valenzuela,Q123585,Unión Cívica Radical,Q44758,Provincia de Corrientes,2021-12-10,,Q110072156-6a77db01-435a-dd8d-a3d6-afdbaa2ddfd6
Q110072258,Edgardo Darío Kueider,Q64590596,Frente de Todos,Q44762,Provincia de Entre Ríos,2019-12-10,,Q110072258-cf4bde77-43f1-cecc-d913-14a2f3d031c0
Q110072488,Daniel Pablo Bensusán,Q64590596,Frente de Todos,Q44795,Provincia de La Pampa,2021-12-10,,Q110072488-d93907e2-44fd-9a94-d49e-c665036184a2
Q110072511,María Victoria Huala,Q1507720,Propuesta Republicana,Q44795,Provincia de La Pampa,2021-12-10,,Q110072511-3f0bbfed-484e-da0e-f110-f818a375827b
Q110073249,Gabriela González Riollo,Q1507720,Propuesta Republicana,Q44818,Provincia de San Luis,2021-12-09,,Q110073249-4ebd0c67-4729-e3bf-d161-8472b1789caf
Q110073537,Marcelo Néstor Lewandowski,Q64590596,Frente de Todos,Q44823,Provincia de Santa Fe,2021-12-10,,Q110073537-cdf39ffb-4f02-fca6-688b-d629a433238e
Q110073872,Sandra Mariela Mendoza,Q64590596,Frente de Todos,Q44829,Provincia de Tucumán,2021-12-10,,Q110073872-b4432b68-4e14-6525-29ed-2b5f4f237059
Q111492729,José María Torello,,,Q44754,Provincia de Buenos Aires,2022-02-24,,Q111492729-0F5EDCFB-5393-4DF2-B939-7C7273C19AE1
Q11682645,Humberto Luis Arturo Schiavoni,Q20749344,Cambiemos,Q44798,Provincia de Misiones,2017-12-10,,Q11682645-F02BEC65-9BB9-464A-BD70-D57D042E9B71
Q1280001,Luis Alfredo Juez,Q5502798,Frente Cívico de Córdoba,Q44759,Provincia de Córdoba,2021-12-10,,Q1280001-321abdbd-4939-7f32-20c0-fcd9179232ee
Q16300546,Claudia Alejandra Ledesma Abdala,Q64590596,Frente de Todos,Q44827,Provincia de Santiago del Estero,2019-12-10,,Q16300546-4ecda37f-4162-6ba5-73b3-41c9c5aef887
Q16599648,Mariano Recalde,Q64590596,Frente de Todos,Q1486,Buenos Aires,2019-12-10,,Q16599648-6a69fb71-4cae-8b29-dd9d-3cbc7ce21bcb
Q18711897,Gerardo Antenor Montenegro,,,Q44827,Provincia de Santiago del Estero,2019-12-10,,Q18711897-829300FC-0157-4191-A841-BA69DEDBE863
Q18711932,Carmen Lucila Crexell,Q7002024,Movimiento Popular Neuquino,Q44800,Provincia de Neuquén,2019-12-10,,Q18711932-aefa8b31-46c6-582b-9504-e44438d7b648
Q19264170,Silvia Estela Sapag,Q64590596,Frente de Todos,Q44800,Provincia de Neuquén,2019-12-10,,Q19264170-4a7329d1-4745-a812-37e4-4b1bf7f0ab2a
Q20014668,Eduardo Alejandro Vischi,Q123585,Unión Cívica Radical,Q44758,Provincia de Corrientes,2021-12-10,,Q20014668-9e20992d-4281-58c2-38b0-0d45c78c2f58
Q20015265,Gladys González,Q20749344,Cambiemos,Q44754,Provincia de Buenos Aires,2017-12-10,,Q20015265-47D55D4E-5316-443E-81E2-42931471AB5D
Q21591711,Julio César Martínez,,,Q44796,Provincia de La Rioja,2017-12-10,,Q21591711-4F82B347-D129-4FAD-8CB0-0B0F8E60B225
Q21856120,Claudio Martín Doñate,Q64590596,Frente de Todos,Q44802,Provincia de Río Negro,2019-12-10,,Q21856120-d8c618bd-40fc-508b-aa44-1e9705ace2a4
