@@,item,name,region,regionlabel,startdate,enddate,psid
->,Q312358,Adolfo Rodríguez Saá,Q44818,San Luis,2017-12-20->2017-12-10,,Q312358-0C4A648B-3209-428A-AAD3-796FD88FE6BB
->,Q3740202,Alberto Weretilneck->Alberto Edgardo Weretilneck,Q44802,Río Negro,2019-12-10,,Q3740202-9978dfa3-4b55-9685-a585-431c95b384ff
->,Q5668101,Alfredo Cornejo->Alfredo Víctor Cornejo,Q44797,Mendoza,2021-12-10,,Q5668101-ba5d52e2-4a1d-1c4b-56e6-95f5336838f7
->,Q8195420,Alfredo de Angeli->Alfredo Luis de Angeli,Q44762,Entre Ríos,2019-12-10,,Q8195420-ee02a580-4f80-33b6-0077-0eb9ce7163f4
->,Q16300546,Claudia Ledesma Abdala de Zamora->Claudia Alejandra Ledesma Abdala,Q44827,Santiago del Estero,2019-12-10,,Q16300546-4ecda37f-4162-6ba5-73b3-41c9c5aef887
->,Q47108965,Cristina López Valverde->Cristina del Carmen López Valverde,Q44805,San Juan,2017-12-10,,Q47108965-5A947489-B5DF-486A-92C5-9E741611826F
->,Q110058594,Dionisio Scarpín->Dionisio Fernando Scarpín,Q44823,Santa Fe,2021-12-10,,Q110058594-29a2a71c-48b1-67ce-3fcf-6bb640832a2a
->,Q110071482,Edith Terenzi->Edith Elizabeth Terenzi,Q45007,Chubut,2021-12-10,,Q110071482-7a4eb52d-4daf-7d24-8735-33f8e336b681
->,Q20014668,Eduardo Vischi->Eduardo Alejandro Vischi,Q44758,Corrientes,2021-12-10,,Q20014668-9e20992d-4281-58c2-38b0-0d45c78c2f58
->,Q20015265,Gladys González,Q44754,Buenos Aires,2017-12-10->2017-12-27,,Q20015265-47D55D4E-5316-443E-81E2-42931471AB5D
->,Q21856278,Guillermo Snopek->Guillermo Eugenio Mario Snopek,Q44764,Jujuy,2017-12-10,,Q21856278-CA702BB7-757B-4061-BEB4-A7DB22BD16EA
->,Q11682645,Humberto Schiavoni->Humberto Luis Arturo Schiavoni,Q44798,Misiones,2017-12-10,,Q11682645-F02BEC65-9BB9-464A-BD70-D57D042E9B71
->,Q21591711,Julio Martínez->Julio César Martínez,Q44796,La Rioja,2017-12-10,,Q21591711-4F82B347-D129-4FAD-8CB0-0B0F8E60B225
->,Q4837851,Lucía Corpacci->Lucía Benigna Corpacci,Q44756,Catamarca,2021-12-10,,Q4837851-25a9d8e3-4d73-e69e-1c55-69580634429b
->,Q1280001,Luis Juez->Luis Alfredo Juez,Q44759,Córdoba,2021-12-10,,Q1280001-321abdbd-4939-7f32-20c0-fcd9179232ee
->,Q6700989,Luis Petcoff Naidenoff->Luis Carlos Petcoff Naidenoff,Q44761,Formosa,2017-12-10,,Q6700989-1D5BAC77-1E96-4737-BCE4-24BC8E76B67E
->,Q4838458,Maurice Closs->Maurice Fabián Closs,Q44798,Misiones,2017-12-10,,Q4838458-26B18B7B-ECA0-4B9A-8B97-79E4AEE4D28A
->,Q98195403,Nora Giménez->Nora del Valle Giménez,Q44803,Salta,2019-12-10,,Q98195403-19be2389-40d6-794a-8446-3e0cae53ce2f
->,Q6053944,Oscar Parrilli->Oscar Isidro Parrilli,Q44800,Neuquén,2019-12-10,,Q6053944-f213c041-49ce-b0e7-c1b7-0eb286e13da7
->,Q7351592,Roberto Basualdo->Roberto Gustavo Basualdo,Q44805,San Juan,2017-12-10,,Q7351592-56789966-4556-4CF8-8035-017E29388ABF
->,Q19264170,Silvia Sapag->Silvia Estela Sapag,Q44800,Neuquén,2019-12-10,,Q19264170-4a7329d1-4745-a812-37e4-4b1bf7f0ab2a
->,Q9077444,Silvina García Larraburu->Silvina Marcela García Larraburu,Q44802,Río Negro,2019-12-10,,Q9077444-BC3AC52E-23BD-44B6-8B69-A5A88E702C36
->,Q108540638,Stella Maris Olalla->Stella Maris Elisa Olalla de Moreira,Q44762,Entre Ríos,2019-12-10,,Q108540638-9c3e85af-420d-18bc-a90c-8abb01a23b89
