item,name,region,regionLabel,party,partyLabel,startDate,endDate
Q5400763,Esteban José Bullrich,Q44754,Buenos Aires,Q1507720,Frente PRO,2017-12-10,2021-12-09
Q9016431,Juliana Di Tullio,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-08-19,
Q20015265,Gladys González,Q44754,Buenos Aires,Q1507720,Frente PRO,2017-12-27,
Q721561,Jorge Enrique Taiana,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,2021-08-10
Q18711914,Inés Imelda Blas,Q44756,Catamarca,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q7105913,Oscar Aníbal Castillo,Q44756,Catamarca,Q5124351,Frente Cívico y Social de Catamarca,2015-12-10,2021-12-09
Q41658537,Dalmacio Mera Figueroa,Q44756,Catamarca,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q6003917,María Inés Pilatti Vergara,Q44757,Chaco,Q64590596,Frente de Todos,2019-12-10,
,Antonio José Rodas,Q44757,Chaco,Q64590596,Frente de Todos,2019-12-10,
,Víctor Zimmermann,Q44757,Chaco,Q123585,Unión Cívica Radical,2019-12-10,
Q41658560,Nancy Susana González,Q45007,Chubut,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q41658584,Alfredo Héctor Luenzo,Q45007,Chubut,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q41658550,Juan Mario Pais,Q45007,Chubut,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q6553522,Martín Lousteau,Q1486,Ciudad de Buenos Aires,Q123585,Unión Cívica Radical,2019-12-10,
Q16599648,Mariano Recalde,Q1486,Ciudad de Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q84899709,Guadalupe Tagliaferri,Q1486,Ciudad de Buenos Aires,Q1507720,Frente PRO,2019-12-10,
Q41587390,Carlos Alberto Caserio,Q44759,Córdoba,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q27640049,Ernesto Félix Martínez,Q44759,Córdoba,Q1507720,Frente PRO,2015-12-10,2021-12-09
Q23807442,Laura Elena Rodríguez Machado,Q44759,Córdoba,Q1507720,Frente PRO,2015-12-10,2021-12-09
Q41658526,Ana Claudia Almirón,Q44758,Corrientes,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q6068353,Néstor Pedro Braillard Poccard,Q44758,Corrientes,Q1507720,Frente PRO,2015-12-10,2021-12-09
Q1042890,Carlos Mauricio Espínola,Q44758,Corrientes,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q8195420,Alfredo Luis de Angeli,Q44762,Entre Ríos,Q1507720,Frente PRO,2019-12-10,
,Edgardo Darío Kueider,Q44762,Entre Ríos,Q64590596,Frente de Todos,2019-12-10,
Q108540638,Stella Maris Elisa Olalla de Moreira,Q44762,Entre Ríos,Q123585,Unión Cívica Radical,2019-12-10,
Q41658558,María Teresa Margarita González,Q44761,Formosa,Q64590596,Frente de Todos,2017-12-10,
Q6293394,José Miguel Ángel Mayans,Q44761,Formosa,Q64590596,Frente de Todos,2017-12-10,
Q6700989,Luis Carlos Petcoff Naidenoff,Q44761,Formosa,Q123585,Unión Cívica Radical,2017-12-10,
Q41587454,Mario Raymundo Fiad,Q44764,Jujuy,Q123585,Unión Cívica Radical,2017-12-10,
Q41658575,Silvia del Rosario Giacoppo,Q44764,Jujuy,Q123585,Unión Cívica Radical,2017-12-10,
Q21856278,Guillermo Eugenio Mario Snopek,Q44764,Jujuy,Q64590596,Frente de Todos,2017-12-10,
Q41658565,Norma Haydée Durango,Q44795,La Pampa,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q41658542,Daniel Aníbal Lovera,Q44795,La Pampa,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q5948411,Juan Carlos Marino,Q44795,La Pampa,Q123585,Unión Cívica Radical,2015-12-10,2021-12-09
Q108540628,Ricardo Antonio Guerra,Q44796,La Rioja,Q64590596,Frente de Todos,2021-02-24,
Q21591711,Julio César Martínez,Q44796,La Rioja,Q123585,Unión Cívica Radical,2017-12-10,
Q185107,Carlos Saúl Menem,Q44796,La Rioja,Q64590596,Frente de Todos,2017-12-10,2021-02-14
Q41555902,María Clara del Valle Vega,Q44796,La Rioja,,"",2019-12-10,
Q456351,Julio César Cleto Cobos,Q44797,Mendoza,Q123585,Unión Cívica Radical,2015-12-10,2021-12-09
Q41658530,Anabel Fernández Sagasti,Q44797,Mendoza,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q27307792,Pamela Fernanda Verasay,Q44797,Mendoza,Q123585,Unión Cívica Radical,2015-12-10,2021-12-09
Q4838458,Maurice Fabián Closs,Q44798,Misiones,Q64590596,Frente de Todos,2017-12-10,
Q11682645,Humberto Luis Arturo Schiavoni,Q44798,Misiones,Q1507720,Frente PRO,2017-12-10,
Q47201914,Magdalena Solari Quintana,Q44798,Misiones,Q5505872,Misiones,2017-12-10,
Q18711932,Carmen Lucila Crexell,Q44800,Neuquén,Q7002024,Movimiento Neuquino,2019-12-10,
Q6053944,Oscar Isidro Parrilli,Q44800,Neuquén,Q64590596,Frente de Todos,2019-12-10,
Q19264170,Silvia Estela Sapag,Q44800,Neuquén,Q64590596,Frente de Todos,2019-12-10,
Q21856120,Claudio Martín Doñate,Q44802,Río Negro,Q64590596,Frente de Todos,2019-12-10,
Q9077444,Silvina Marcela García Larraburu,Q44802,Río Negro,Q64590596,Frente de Todos,2019-12-10,
Q3740202,Alberto Edgardo Weretilneck,Q44802,Río Negro,Q25405448,Juntos Somos Río Negro,2019-12-10,
Q98195403,Nora del Valle Giménez,Q44803,Salta,Q64590596,Frente de Todos,2019-12-10,
Q47144945,Sergio Napoleón Leavy,Q44803,Salta,Q64590596,Frente de Todos,2019-12-10,
Q6299395,Juan Carlos Romero,Q44803,Salta,Q1053668,Justicialista 8 de Octubre,2019-12-10,
Q7351592,Roberto Gustavo Basualdo,Q44805,San Juan,,"",2017-12-10,
Q47108965,Cristina del Carmen López Valverde,Q44805,San Juan,Q64590596,Frente de Todos,2017-12-10,
Q47167622,José Rubén Uñac,Q44805,San Juan,Q64590596,Frente de Todos,2017-12-10,
Q47199903,María Eugenia Catalfamo,Q44818,San Luis,Q64590596,Frente de Todos,2017-12-10,
Q4838522,Claudio Javier Poggi,Q44818,San Luis,Q64706759,Avanzar San Luis,2017-12-10,2021-12-08
Q312358,Adolfo Rodríguez Saá,Q44818,San Luis,Q64590596,Frente de Todos,2017-12-10,
Q5819618,Eduardo Raúl Costa,Q44821,Santa Cruz,Q123585,Unión Cívica Radical,2017-12-10,
Q47199960,Ana María Ianni,Q44821,Santa Cruz,Q64590596,Frente de Todos,2017-12-10,
Q47200046,María Belén Tapia,Q44821,Santa Cruz,Q123585,Unión Cívica Radical,2017-12-10,
Q77247669,Roberto Mario Mirabella,Q44823,Santa Fe,Q64590596,Frente de Todos,2019-12-10,2021-12-09
Q173238,Carlos Alberto Reutemann,Q44823,Santa Fe,,"",2015-12-10,2021-07-07
Q27309047,María de los Ángeles Sacnun,Q44823,Santa Fe,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q108438078,María Alejandra Vucasovich,Q44823,Santa Fe,,"",2021-07-15,2021-12-09
Q16300546,Claudia Alejandra Ledesma Abdala,Q44827,Santiago del Estero,Q64590596,Frente de Todos,2019-12-10,
Q18711897,Gerardo Antenor Montenegro,Q44827,Santiago del Estero,Q64590596,Frente de Todos,2019-12-10,
Q84706374,José Emilio Neder,Q44827,Santiago del Estero,Q64590596,Frente de Todos,2019-12-10,
Q104696491,Pablo Daniel Blanco,Q44832,Tierra del Fuego,Q123585,Unión Cívica Radical,2019-12-10,
Q108540647,María Eugenia Duré,Q44832,Tierra del Fuego,Q64590596,Frente de Todos,2019-12-10,
Q21856262,Matías David Rodríguez,Q44832,Tierra del Fuego,Q64590596,Frente de Todos,2019-12-10,
Q4122225,José Jorge Alperovich,Q44829,Tucumán,Q64590596,Frente de Todos,2015-12-10,2021-12-09
Q18711909,Silvia Beatriz Elías de Pérez,Q44829,Tucumán,Q123585,Unión Cívica Radical,2015-12-10,2021-12-09
Q41658534,Beatriz Graciela Mirkin,Q44829,Tucumán,Q64590596,Frente de Todos,2015-12-10,2021-12-09
