@@,itemlabel,item,startdate,enddate
->,Carlos von der Becke->Carlos Maximiliano von der Becke,Q5482726,1943,1946
->,Diego I. Mason->Diego Isidro Mason,Q5806251,1946,1948
->,Juan Sanguinetti->Juan Carlos Sanguinetti,Q89626554,1948,1950
->,Ángel Solari->Ángel Ovidio Solari,Q30539180,1950,1951-11-14
->,Alfredo Ávalos->Alfredo Andrés Ávalos,Q96624523,1951-11-14,1953-09-23
->,José Domingo Molina->José Domingo Molina Gómez,Q739234,1953-09-23,1955-09-23
+++,Luis Carlos Raimundo Bussetti,,1956,1957
+++,Francisco José Zerda,,1956,1956
->,Jorge Carcagno->Jorge Raúl Carcagno,Q3183868,1973-05-25,1973-12-19
->,Leandro Anaya->Leandro Enrique Anaya,Q5972183,1973-12-19,1975-05-13
->,Jorge Rafael Videla,Q75853,1973->1975-08-27,1975->1978-07-31
->,Alberto Laplane->Alberto Numa Laplane,Q5663214,1975-05-13,1975-08-27
->,Ricardo Pianta->Ricardo Gustavo Pianta,Q6108413,1984-07-05,1985-03-04
->,Héctor Ríos Ereñú->Héctor Luis Ríos Ereñú,Q5906417,1985-03-04,1987-04-22
->,José Caridi->José Segundo Dante Caridi,Q5938739,1987-04-22,1988-12-21
->,Francisco Gassino->Francisco Eduardo Gassino,Q5865850,1988-12-22,1989-07-08
->,Isidro Cáceres->Isidro Bonifacio Cáceres,Q5921295,1989-07-12,1990-03-21
->,Martín Bonnet->Martín Félix Bonnet,Q6002516,1990-03-26,1991-11-01
->,Martín Balza->Martín Antonio Balza,Q538049,1991-11-04,1999-12-10
->,Ricardo Brinzoni->Ricardo Guillermo Brinzoni,Q6960043,1999-12-10,2003-05-28
->,Roberto Bendini->Roberto Fernando Bendini,Q6109597,2003-05-28,2008-09-19
->,César Milani->César Santos Gerardo del Corazón de Jesús Milani,Q16301521,2013-07-03,2015-06-24
->,Diego Suñer->Diego Luis Suñer,Q22251998,2016-01-25,2018-02-15
->,Claudio Pasqualini->Claudio Ernesto Pasqualini,Q48873003,2018-01-15->2018-02-15,2020-02-28
->,Agustín Cejas->Agustín Humberto Cejas,Q86469710,2020-02-28,2021-12-15
->,Q111493090->Guillermo Olegario Gonzalo Pereda,Q111493090,2021-12-15,
