item,name,party,partyLabel,region,regionLabel,startDate,endDate,psid
Q101413635,María Luján Rey,Q64590412,Juntos por el Cambio,Q44754,Provincia de Buenos Aires,2019-12-10,,Q101413635-63b8c621-47a4-378b-f17a-3bbc1648c61c
Q102347072,Soher El Sukaria,,,Q44759,Provincia de Córdoba,2019-12-10,,Q102347072-1c7110e7-4468-a6b1-d9f9-c94729c89774
Q104234791,Emiliano Estrada,,,Q44803,Provincia de Salta,2021-12-10,,Q104234791-B87FE1D5-A6D9-4D98-AFC7-8AA5B472360A
Q104414846,Gustavo René Hein,,,Q44762,Provincia de Entre Ríos,2019-12-10,,Q104414846-E1822DEC-A1C0-462A-8687-E70DFFDB5A1B
Q104419733,Dina Esther Rezinovsky,,,Q1486,Buenos Aires,2019-12-10,,Q104419733-30A67F6C-3813-442A-A7DA-67E0A8FB765F
Q104901318,Daniel Julio Ferreyra,,,Q44764,Provincia de Jujuy,2019-12-10,,Q104901318-E7D904C2-56F1-4A4C-A80E-2240FC7A7B93
Q104906639,Alejandro Cacace,,,Q44818,Provincia de San Luis,2019-12-10,,Q104906639-E2295C23-B2CF-4BE9-9E32-EF5D192403ED
Q106686072,Diego Felipe Álvarez,,,Q44796,Provincia de La Rioja,2019-12-10,,Q106686072-20A94773-54C5-402D-B872-C25589545E47
Q107209202,Victoria Tolosa Paz,,,Q44754,Provincia de Buenos Aires,2021-12-10,,Q107209202-06d26cfe-40c7-c7c1-dd81-ce742c79aa4a
Q107646264,Inés Carolina Yutrovic,,,Q44832,"Provincia de Tierra del Fuego, Antártida e islas del Atlántico Sur",2021-12-10,,Q107646264-4C4D43C8-9E98-401F-84E8-648FB928A174
Q107674589,Mónica Litza,,,Q44754,Provincia de Buenos Aires,2021-12-10,,Q107674589-6BEE3625-2CE8-4E25-B450-678804553448
Q107719053,Gabriela Beatriz Estévez,,,Q44759,Provincia de Córdoba,2019-12-10,,Q107719053-70975CE3-C8F5-4F1D-947F-49FDBAB4FAD1
Q107736916,Enrique Eloy Estévez,,,Q44823,Provincia de Santa Fe,2019-12-10,,Q107736916-729C5E0D-4E87-4337-8157-82D837DE549F
Q107746592,Carlos Mario Gutiérrez,,,Q44759,Provincia de Córdoba,2019-12-10,,Q107746592-7CC319EE-FA72-4DD8-BCE1-449BFBCD70DE
Q108028101,Federico Frigerio,,,Q44832,"Provincia de Tierra del Fuego, Antártida e islas del Atlántico Sur",2019-12-10,,Q108028101-f4cbad38-4d14-d8d1-dc4b-5f8ee94135b1
Q108165085,Carlos Raúl Zapata,,,Q44803,Provincia de Salta,2021-12-10,,Q108165085-8F84BA28-9851-48D3-9C91-3474B34A009F
Q108299590,Dante Edgardo López Rodríguez,,,Q44756,Provincia de Catamarca,2021-12-10,,Q108299590-69149832-89AC-4EF5-BEEB-4CD35B9F07AF
Q108305550,Aldo Adolfo Leiva,,,Q44757,Provincia del Chaco,2019-12-10,,Q108305550-E8C3D724-4CDB-4B2B-8D41-5EF11F8153C4
Q108322391,Nancy Sand,Q64590596,Frente de Todos,Q44758,Provincia de Corrientes,2019-12-10,,Q108322391-7a75e9e4-4873-3cb5-8110-cda8a6cfa1b3
Q108324373,María Rosa Martínez,,,Q44754,Provincia de Buenos Aires,2019-12-10,,Q108324373-e49654e5-42c1-7c60-016f-e1d740fc0df7
Q108373971,Susana Graciela Landriscini,Q64590596,Frente de Todos,Q44802,Provincia de Río Negro,2019-12-10,,Q108373971-5ba73bab-4b73-a60b-f8db-da9676fefc84
Q108377000,Luis Di Giácomo,Q25405448,Juntos Somos Río Negro,Q44802,Provincia de Río Negro,2019-12-10,,Q108377000-e57a8c19-44fc-e691-7693-7476655b03b8
Q108386730,Martín Antonio Berhongaray,Q123585,Unión Cívica Radical,Q44795,Provincia de La Pampa,2019-12-10,,Q108386730-5855ed7f-4cd2-1de3-f678-e1b5f2ab3458
Q108401294,Liliana Patricia Yambrún,Q64590596,Frente de Todos,Q44754,Provincia de Buenos Aires,2019-12-10,,Q108401294-0abe3c00-4336-c3da-df23-4e87654ea979
Q108425883,Eduardo Gabriel Fernández,Q64590596,Frente de Todos,Q44759,Provincia de Córdoba,2019-12-10,,Q108425883-0fa70d23-442b-09d7-12c2-2aaab800c0ca
Q108426848,María Dolores Martínez,Q64590412,Juntos por el Cambio,Q1486,Buenos Aires,2019-12-10,,Q108426848-f3e46dbd-4d21-94b5-52b6-099b9bc3650a
Q108557748,Pamela Calletti,,,Q44803,Provincia de Salta,2021-12-10,,Q108557748-4739A2F6-453D-4069-8F22-D918404F7E39
Q109950773,Leila Chaher,,,Q44764,Provincia de Jujuy,2021-12-10,,Q109950773-C143FA90-4AD7-4A9A-9370-59FA03354A22
Q110050625,Martín Alberto Tetaz,,,Q1486,Buenos Aires,2021-12-10,,Q110050625-314e87ac-4066-fcfb-f28d-8d076d8732d3
Q110101993,Silvia Noemí del Valle Sayago,,,Q44827,Provincia de Santiago del Estero,2021-12-10,2021-12-12,Q110101993-9B639B83-4DAD-4D11-A91F-D77A9122AA4C
Q110104134,Daniel Agustín Brué,,,Q44827,Provincia de Santiago del Estero,2019-12-10,,Q110104134-C418DBD0-E0E5-4EB6-846B-B5F49966FC00
Q110112123,Marcela Paola Vessvessian,,,Q44821,Provincia de Santa Cruz,2019-12-10,,Q110112123-6F853BAB-73F2-4467-B12C-7D1780F5ABB1
Q110164788,Natalia Zaracho,Q64590596,Frente de Todos,Q44754,Provincia de Buenos Aires,2021-12-16,,Q110164788-cdf6c656-48a1-13a5-741d-d5ecb57a81ea
Q110191758,Ricardo Daniel Daives,,,Q44827,Provincia de Santiago del Estero,2019-12-10,,Q110191758-8c2545b0-411c-09a3-825d-298b876fc1e2
Q110219598,Diego Horacio Sartori,,,Q44798,Provincia de Misiones,2019-12-10,,Q110219598-63b418dc-4678-7e17-54e2-1b4f9314d98e
Q110249925,Gabriela Brouwer de Koning,Q64590412,Juntos por el Cambio,Q44759,Provincia de Córdoba,2021-12-10,,Q110249925-15e930ce-43fd-285b-71a1-fcf1b1c6d975
Q110389891,Carlos Alberto Fernández,,,Q44798,Provincia de Misiones,2021-12-16,,Q110389891-3dad85b4-42ed-da50-9267-5148efa9f9ed
Q110459291,Constanza María Alonso,,,Q44754,Provincia de Buenos Aires,2021-12-10,,Q110459291-8A37E696-68EC-4103-A564-3D7392469AC9
Q110561315,Paula Omodeo,,,Q44829,Provincia de Tucumán,2021-12-10,,Q110561315-671c85e2-4543-6ef5-3324-3af245ecee4c
Q110727342,Federico Angelini,,,Q44823,Provincia de Santa Fe,2019-12-10,,Q110727342-22983723-3EF9-47EF-81F7-833CA97D2E87
Q110822156,María Luisa Montoto de Rogel,,,Q44827,Provincia de Santiago del Estero,2021-12-10,,Q110822156-5ACC6EC4-CD39-414F-BA42-120BF82958D7
Q111424753,Bernardo José Herrera,,,Q44827,Provincia de Santiago del Estero,2021-12-10,,Q111424753-B2C23D18-B85C-4952-932A-CF5A50D27DE6
Q111478730,Adriana Noemí Ruarte,,,Q44759,Provincia de Córdoba,2019-12-10,,Q111478730-2131F97D-87DA-4140-B1C2-4ACB74DF8B15
Q111478738,Carlos Aníbal Cisneros,,,Q44829,Provincia de Tucumán,2019-12-10,,Q111478738-D87C29C3-2844-4F4E-B233-B8D04DACE1B8
Q111478740,Carlos Ramiro Gutiérrez,,,Q44754,Provincia de Buenos Aires,2019-12-10,,Q111478740-7AEC3686-F536-4DF4-A82C-6ADB1266B1C5
Q111478741,Carlos Ybrhain Ponce,,,Q44818,Provincia de San Luis,2019-12-10,,Q111478741-EB6BC8F3-DD70-4CAF-85E3-45573F431D71
Q111478743,Claudia Beatriz Ormachea,,,Q44754,Provincia de Buenos Aires,2019-12-10,,Q111478743-FDF63B8D-6996-4F97-958A-8413E0EA9A22
Q111478747,Domingo Luis Amaya,,,Q44829,Provincia de Tucumán,2019-12-10,,Q111478747-CF2ACC82-6750-4817-8B0B-D764B60ABAC3
Q111478751,Estela Beatriz Hernández,,,Q45007,Provincia del Chubut,2019-12-10,,Q111478751-6CBB0819-5650-4C02-B0D3-CD46846C26AF
