item,name,region,regionLabel,party,partyLabel,startDate,endDate
Q81549870,Juan Carlos Alderete,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019​-12-19,
Q110459291,Constanza María Alonso,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q76824320,Alicia Noemí Aparicio,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q68057058,Daniel Fernando Arroyo,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q87726411,Alberto Emilio Asseff,Q44754,Buenos Aires,Q1507720,PRO,2019-12-10,
Q21856053,Karina Verónica Banfi,Q44754,Buenos Aires,Q123585,Unión Cívica Radical,2019-12-10,
Q17477925,Miguel Ángel Bazze,Q44754,Buenos Aires,Q123585,Unión Cívica Radical,2019-12-10,
,Gabriela Gisel Besana,Q44754,Buenos Aires,Q1507720,PRO,2021-12-10,
,Lisandro Bormioli,Q44754,Buenos Aires,Q64590596,Frente de Todos,2020​-5-13,
,María Victoria  Borrego,Q44754,Buenos Aires,Q1104292,Coalición Cívica,2021-12-10,
Q5883959,Graciela Camaño,Q44754,Buenos Aires,Q107605736,Identidad Bonaerense,2019-12-10,
Q47141983,María Marcela Campagnoli,Q44754,Buenos Aires,Q1104292,Coalición Cívica,2021-12-10,
Q99358480,Camila Crescimbeni,Q44754,Buenos Aires,Q1507720,PRO,2019-12-10,
Q15702157,Nicolás del Caño,Q44754,Buenos Aires,Q598744,Frente de Izquierda,2021-12-10,
Q43078686,Romina del Plá,Q44754,Buenos Aires,Q8034724,Partido ObreroFrente de Izquierda,2021-12-10,
Q29019697,José Luis Espert,Q44754,Buenos Aires,Q105099519,Avanza Libertad,2021-12-10,
Q96625184,Federico Fagioli,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019​-12-19,
Q30905503,Alejandro Finocchiaro,Q44754,Buenos Aires,Q1507720,PRO,2021-12-10,
,Mónica Edith Frade,Q44754,Buenos Aires,Q1104292,Coalición Cívica,2019-12-10,
,Raúl Sebastián García De Luca,Q44754,Buenos Aires,Q64590412,Encuentro Federal,2019-12-10,
Q19521806,Daniel Gollán,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q21856151,Leonardo Grosso,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,Carlos Ramiro Gutiérrez,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,Rogelio Iparraguirre,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
,María de las Mercedes Joury,Q44754,Buenos Aires,Q1507720,PRO,2019-12-10,
Q15719117,Máximo Carlos Kirchner,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,Florencia Lampreabe,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q107674589,Mónica Litza,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q5896197,Hernán Lombardi,Q44754,Buenos Aires,Q1507720,PRO,2021-12-10,
,María Jimena López,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019​-12-19,
Q104214254,Juan Manuel López,Q44754,Buenos Aires,Q1104292,Coalición Cívica,2021-12-10,
Q21856177,Silvia Gabriela Lospennato,Q44754,Buenos Aires,Q1507720,PRO,2019-12-10,
Q47142291,Mónica Fernanda Macha,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q16301016,Facundo Manes,Q44754,Buenos Aires,Q123585,Unión Cívica Radical,2021-12-10,
Q108324373,María Rosa Martínez,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q3479675,Sergio Tomás Massa,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q5878337,Gerardo Milman,Q44754,Buenos Aires,Q1507720,PRO,2021-12-10,
Q21614815,Emilio Monzó,Q44754,Buenos Aires,Q64590412,Encuentro Federal,2021-12-10,
Q21856214,Cecilia Moreau,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q5973474,Leopoldo Raúl Guido Moreau,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q5591576,María Graciela Ocaña,Q44754,Buenos Aires,Q1507720,PRO,2021-12-10,
,Claudia Beatriz Ormachea,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,Sergio Omar Palazzo,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
,Marcela Fabiana Passo,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q5955633,Julio César Pereyra,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q98470534,Carolina Píparo,Q44754,Buenos Aires,Q105099519,Avanza Libertad,2021-12-10,
,Agustina Lucrecia Propato,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
,Fabio José Quetglas,Q44754,Buenos Aires,Q123585,Unión Cívica Radical,2021-12-10,
Q963100,Aníbal Florencio Randazzo,Q44754,Buenos Aires,Q107605736,Identidad Bonaerense,2021-12-10,
Q101413635,María Luján Rey,Q44754,Buenos Aires,Q1507720,PRO,2019-12-10,
Q15714675,Cristian Adrián Ritondo,Q44754,Buenos Aires,Q1507720,PRO,2019-12-10,
Q98770550,Alejandro «Topo» Rodríguez,Q44754,Buenos Aires,Q107605736,Identidad Bonaerense,2019-12-10,
,Sebastián Nicolás Salvador,Q44754,Buenos Aires,Q123585,Unión Cívica Radical,2019-12-10,
Q5274808,Diego César Santilli,Q44754,Buenos Aires,Q1507720,PRO,2021-12-10,
,Carlos Américo Selva,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q47142273,Vanesa Raquel Siley,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
,María Sotolano,Q44754,Buenos Aires,Q1507720,PRO,2021-12-10,
,Natalia Marcela Souto,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021​-10-26,
,Mariana Stilman,Q44754,Buenos Aires,Q1104292,Coalición Cívica,2019-12-10,
Q2918563,Margarita Rosa Stolbizer,Q44754,Buenos Aires,Q64590412,Encuentro Federal,2021-12-10,
Q45797708,Luis Rodolfo Tailhade,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,Danya Tavela,Q44754,Buenos Aires,Q123585,Evolución Radical,2021-12-10,
Q107209202,Victoria Tolosa Paz,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q21856289,Pablo Torello,Q44754,Buenos Aires,Q1507720,PRO,2019-12-10,
,Brenda Vargas Matyi,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q21856300,Waldo Ezequiel Wolff,Q44754,Buenos Aires,Q1507720,PRO,2019-12-10,
Q108401294,Liliana Patricia Yambrún,Q44754,Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
,Lucio Yapor,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021​-10-26,
Q11682640,Hugo Rubén Yasky,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q110164788,Natalia Zaracho,Q44754,Buenos Aires,Q64590596,Frente de Todos,2021​-12-16,
,Sabrina Ajmechet,Q1486,Ciudad de Buenos Aires,Q1507720,PRO,2021-12-10,
Q63342220,Mara Brawer,Q1486,Ciudad de Buenos Aires,Q64590596,Frente de Todos,2019​-12-19,
Q6035188,Myriam Bregman,Q1486,Ciudad de Buenos Aires,Q598744,Frente de Izquierda,2021-12-10,
Q21855237,Ana Carla Carrizo,Q1486,Ciudad de Buenos Aires,Q123585,Evolución Radical,2021-12-10,
Q85015520,Maximiliano Carlos Francisco Ferraro,Q1486,Ciudad de Buenos Aires,Q1104292,Coalición Cívica,2019-12-10,
Q104110170,Álvaro Gustavo González,Q1486,Ciudad de Buenos Aires,Q1507720,PRO,2019-12-10,
Q30347207,Itai Hagman,Q1486,Ciudad de Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q5042165,Carlos Salomón Heller,Q1486,Ciudad de Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q5859724,Fernando Adolfo Iglesias,Q1486,Ciudad de Buenos Aires,Q1507720,PRO,2021-12-10,
Q957748,Ricardo López Murphy,Q1486,Ciudad de Buenos Aires,Q99853023,Republicanos Unidos,2021-12-10,
Q108426848,María Dolores Martínez,Q1486,Ciudad de Buenos Aires,Q123585,Eolución Radical,2019-12-10,
Q48216423,Gisela Marziotta,Q1486,Ciudad de Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q52395487,Javier Gerardo Milei,Q1486,Ciudad de Buenos Aires,Q108454548,La Libertad Avanza,2021-12-10,
Q63990130,Victoria Morales Gorleri,Q1486,Ciudad de Buenos Aires,Q1507720,PRO,2019-12-10,
Q33297240,Paula Mariana Oliveto Lago,Q1486,Ciudad de Buenos Aires,Q1104292,Coalición Cívica,2021-12-10,
Q16617179,Paula Andrea Penacca,Q1486,Ciudad de Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q104419733,Dina Esther Rezinovsky,Q1486,Ciudad de Buenos Aires,Q1507720,PRO,2019-12-10,
Q29263357,Leandro Santoro,Q1486,Ciudad de Buenos Aires,Q64590596,Frente de Todos,2021-12-10,
Q110050625,Martín Alberto Tetaz,Q1486,Ciudad de Buenos Aires,Q123585,Evolución Radical,2021-12-10,
Q17624215,Pablo Gabriel Tonelli,Q1486,Ciudad de Buenos Aires,Q1507720,PRO,2019-12-10,
Q22329411,Eduardo Félix Valdés,Q1486,Ciudad de Buenos Aires,Q64590596,Frente de Todos,2019-12-10,
Q6782004,María Eugenia Vidal,Q1486,Ciudad de Buenos Aires,Q1507720,PRO,2021-12-10,
Q24572317,Victoria Eugenia Villarruel,Q1486,Ciudad de Buenos Aires,Q108454548,La Libertad Avanza,2021-12-10,
Q85119056,Emiliano Benjamín Yacobitti,Q1486,Ciudad de Buenos Aires,Q123585,Unión Cívica Radical,2019-12-10,
Q24821342,Mariana de Jesús Zuvic,Q1486,Ciudad de Buenos Aires,Q1104292,Coalición Cívica,2019-12-10,
,Anahí Costa,Q44756,Catamarca,Q64590596,Frente de Todos,2021​-12-16,
Q47142422,Silvana Micaela Ginocchio,Q44756,Catamarca,Q64590596,Frente de Todos,2021-12-10,
Q108299590,Dante Edgardo López Rodríguez,Q44756,Catamarca,Q64590596,Frente de Todos,2021-12-10,
,Rubén Horacio Manzi,Q44756,Catamarca,Q1104292,Coalición Cívica,2019-12-10,
,Francisco Manuel Monti,Q44756,Catamarca,Q123585,Unión Cívica Radical,2021-12-10,
,María Luisa Chomiak,Q44757,Chaco,Q64590596,Frente de Todos,2021-12-10,
,Gerardo Cipolini,Q44757,Chaco,Q123585,Unión Cívica Radical,2019-12-10,
Q108305550,Aldo Adolfo Leiva,Q44757,Chaco,Q64590596,Frente de Todos,2019-12-10,
Q21856188,María Lucila Masin,Q44757,Chaco,Q64590596,Frente de Todos,2019-12-10,
Q21856226,Juan Manuel Pedrini,Q44757,Chaco,Q64590596,Frente de Todos,2021-12-10,
,Juan Carlos Polini,Q44757,Chaco,Q123585,Unión Cívica Radical,2021-12-10,
,Marilú Quiroz,Q44757,Chaco,Q1507720,PRO,2021-12-10,
,María Eugenia Alianello,Q45007,Chubut,Q64590596,Frente de Todos,2021-12-10,
,Estela Beatriz Hernández,Q45007,Chubut,Q64590596,Frente de Todos,2019-12-10,
Q21856159,Santiago Nicolás Igon,Q45007,Chubut,Q64590596,Frente de Todos,2019-12-10,
,Ana Clara Romero,Q45007,Chubut,Q1507720,PRO,2021-12-10,
,Matías Taccetta,Q45007,Chubut,Q1507720,PRO,2021​-12-16,
Q312505,Héctor Walter Baldassi,Q44759,Córdoba,Q1507720,PRO,2021-12-10,
Q110249925,Gabriela Brouwer de Koning,Q44759,Córdoba,Q123585,Evolución Radical,2021-12-10,
,Marcos Gustavo Carasso,Q44759,Córdoba,Q123585,Unión Cívica Radical,2021​-12-16,
Q21856085,María Soledad Carrizo,Q44759,Córdoba,Q123585,Unión Cívica Radical,2021-12-10,
Q41787670,José Pablo Carro,Q44759,Córdoba,Q64590596,Frente de Todos,2021-12-10,
,Natalia de la Sota,Q44759,Córdoba,Q62062803,Córdoba Federal,2021-12-10,
Q20018279,Rodrigo de Loredo,Q44759,Córdoba,Q123585,Evolución Radical,2021-12-10,
Q102347072,Soher El Sukaria,Q44759,Córdoba,Q1507720,PRO,2019-12-10,
Q107719053,Gabriela Beatriz Estévez,Q44759,Córdoba,Q64590596,Frente de Todos,2019-12-10,
Q108425883,Eduardo Gabriel Fernández,Q44759,Córdoba,Q64590596,Frente de Todos,2019-12-10,
,Ignacio Jorge García Aresca,Q44759,Córdoba,Q62062803,Córdoba Federal,2021-12-10,
Q107746592,Carlos Mario Gutiérrez,Q44759,Córdoba,Q62062803,Córdoba Federal,2019-12-10,
Q21856186,Leonor María Martínez Villada,Q44759,Córdoba,Q1104292,Coalición Cívica,2019-12-10,
Q16301672,Mario Raúl Negri,Q44759,Córdoba,Q123585,Unión Cívica Radical,2019-12-10,
Q23807442,Laura Elena Rodríguez Machado,Q44759,Córdoba,Q1507720,PRO,2021-12-10,
,Víctor Hugo Romero,Q44759,Córdoba,Q123585,Unión Cívica Radical,2019-12-10,
,Adriana Noemí Ruarte,Q44759,Córdoba,Q1507720,PRO,2019-12-10,
Q21601187,Gustavo Santos,Q44759,Córdoba,Q1507720,PRO,2021-12-10,
,Manuel Ignacio Aguirre,Q44758,Corrientes,Q64590596,Frente de Todos,2021-12-10,
,Fabián Antonio Borda,Q44758,Corrientes,Q64590596,Frente de Todos,2021​-12-16,
,Sofía Brambilla,Q44758,Corrientes,Q1507720,PRO,2021-12-10,
,Ingrid Jetter,Q44758,Corrientes,Q1507720,PRO,2019-12-10,
,Jorge Antonio Romero,Q44758,Corrientes,Q64590596,Frente de Todos,2021-12-10,
Q108322391,Nancy Sand,Q44758,Corrientes,Q64590596,Frente de Todos,2019-12-10,
,Jorge Vara,Q44758,Corrientes,Q123585,Unión Cívica Radical,2019-12-10,
,Marcela Antola,Q44762,Entre Ríos,Q123585,Evolución Radical,2021-12-10,
Q96623937,Marcelo Pablo Casaretto,Q44762,Entre Ríos,Q64590596,Frente de Todos,2019-12-10,
Q11184187,Rogelio Frigerio ,Q44762,Entre Ríos,Q1507720,PRO,2021-12-16,
Q21856142,Ana Carolina Gaillard,Q44762,Entre Ríos,Q64590596,Frente de Todos,2021-12-10,
,Pedro Jorge Galimberti,Q44762,Entre Ríos,Q123585,Unión Cívica Radical,2021-12-10,
Q104414846,Gustavo René Hein,Q44762,Entre Ríos,Q1507720,PRO,2019-12-10,
,Tomás Ledesma,Q44762,Entre Ríos,Q64590596,Frente de Todos,2021-12-10,
,Gabriela Mabel Lena,Q44762,Entre Ríos,Q123585,Unión Cívica Radical,2019-12-10,
Q4924764,Blanca Inés Osuna,Q44762,Entre Ríos,Q64590596,Frente de Todos,2019-12-10,
Q6108050,Ricardo Buryaile,Q44761,Formosa,Q123585,Unión Cívica Radical,2019-12-10,
,Fernando Carbajal,Q44761,Formosa,Q123585,Unión Cívica Radical,2021-12-10,
,Nelly Ramona Daldovo,Q44761,Formosa,Q64590596,Frente de Todos,2019​-12-19,
,Gustavo Ramiro Fernández Patri,Q44761,Formosa,Q64590596,Frente de Todos,2021-12-10,
,María Graciela Parola,Q44761,Formosa,Q64590596,Frente de Todos,2019-12-10,
,Gustavo Bouhid,Q44764,Jujuy,Q123585,Unión Cívica Radical,2021-12-10,
Q109950773,Leila Chaher,Q44764,Jujuy,Q64590596,Frente de Todos,2021-12-10,
Q104901318,Daniel Julio Ferreyra,Q44764,Jujuy,Q64590596,Frente de Todos,2019-12-10,
Q6003481,María Carolina Moisés,Q44764,Jujuy,Q64590596,Frente de Todos,2019-12-10,
,Jorge Raúl Rizzotti,Q44764,Jujuy,Q123585,Unión Cívica Radical,2019-12-10,
Q62118467,Alejandro Ariel Vilca,Q44764,Jujuy,Q598744,Frente de Izquierda,2021-12-10,
Q108386730,Martín Antonio Berhongaray,Q44795,La Pampa,Q123585,Unión Cívica Radical,2019-12-10,
,Marcela Inés Coli,Q44795,La Pampa,Q123585,Unión Cívica Radical,2021-12-10,
Q41555908,Martín Maquieyra,Q44795,La Pampa,Q1507720,PRO,2021-12-10,
,Varinia Lis Marín,Q44795,La Pampa,Q64590596,Frente de Todos,2021-12-10,
,Hernán Pérez Araujo,Q44795,La Pampa,Q64590596,Frente de Todos,2019-12-10,
Q18711912,Hilda Clelia Aguirre de Soria,Q44796,La Rioja,Q64590596,Frente de Todos,2019-12-10,
Q106686072,Diego Felipe Álvarez,Q44796,La Rioja,Q110097833,SER-Somos Energía para Renovar,2019-12-10,
Q20969944,Sergio Guillermo Casas,Q44796,La Rioja,Q64590596,Frente de Todos,2019-12-10,
,Jorge Ricardo Herrera,Q44796,La Rioja,Q64590596,Frente de Todos,2021-12-10,
,Gabriela Pedrali,Q44796,La Rioja,Q64590596,Frente de Todos,2021-12-10,
Q18711856,Adolfo Bermejo,Q44797,Mendoza,Q64590596,Frente de Todos,2021-12-10,
Q456351,Julio César Cleto Cobos,Q44797,Mendoza,Q123585,Unión Cívica Radical,2021-12-10,
Q21662521,Omar Bruno De Marchi,Q44797,Mendoza,Q1507720,PRO,2019-12-10,
,Lisandro Nieri,Q44797,Mendoza,Q123585,Unión Cívica Radical,2021​-12-16,
,Jimena Hebe Latorre,Q44797,Mendoza,Q123585,Unión Cívica Radical,2019-12-10,
,Álvaro Fernando Martínez,Q44797,Mendoza,Q1507720,PRO,2021-12-10,
,María Liliana Paponet,Q44797,Mendoza,Q64590596,Frente de Todos,2021-12-10,
,Eber Albano Pérez Plaza,Q44797,Mendoza,Q64590596,Frente de Todos,2021​-03-27,
,Marisa Lourdes Uceda,Q44797,Mendoza,Q64590596,Frente de Todos,2019-12-10,
Q27307792,Pamela Fernanda Verasay,Q44797,Mendoza,Q123585,Unión Cívica Radical,2021-12-10,
,Martín Arjol,Q44798,Misiones,Q123585,Unión Cívica Radical,2021-12-10,
,Héctor Orlando Bárbaro,Q44798,Misiones,Q64590596,Frente de Todos,2019-12-10,
Q21856061,María Cristina Brítez,Q44798,Misiones,Q64590596,Frente de Todos,2019-12-10,
Q110389891,Carlos Alberto Fernández,Q44798,Misiones,Q5505872,Frente de la Concordia Misionero,2021-12-16,
,Florencia Naiara Klipauka Lewtak,Q44798,Misiones,Q1507720,PRO,2021-12-10,
Q110219598,Diego Horacio Sartori,Q44798,Misiones,Q5505872,Frente de la Concordia Misionero,2019-12-10,
,Alfredo Oscar Schiavoni,Q44798,Misiones,Q1507720,PRO,2019-12-10,
,Tanya Yanet Bertoldi,Q44800,Neuquén,Q64590596,Frente de Todos,2021-12-10,
,Guillermo Oscar Carnaghi,Q44800,Neuquén,Q64590596,Frente de Todos,2020​-09-24,
