@@,item,name,party,partylabel,region,regionlabel,startdate,enddate
+++,Q4924764,Blanca Inés Osuna,Q64590596,Frente de Todos,Q44762,Entre Ríos,2019-12-10,
---,Q27307685,Brenda Lis Austin,Q20749344,Cambiemos,Q44759,Córdoba Province,2017-12-10,
+++,,Brenda Vargas Matyi,Q64590596,Frente de Todos,Q44754,Buenos Aires,2021-12-10,
+++,Q99358480,Camila Crescimbeni,Q1507720,PRO,Q44754,Buenos Aires,2019-12-10,
---,Q21856231,Carla Betina Pitiot,Q15120034,Renewal Front,Q1486,Buenos Aires,2015-12-10,
->,Q21855237,Carla Carrizo->Ana Carla Carrizo,Q47114471->Q123585,NULL->Evolución Radical,Q1486,Buenos Aires->Ciudad de Buenos Aires,2017-12-10->2021-12-10,
->,Q110389891,Carlos Alberto Fernández,NULL->Q5505872,NULL->Frente de la Concordia Misionero,Q44798,Misiones Province->Misiones,2021-12-16,
---,Q47451468,Carlos Alberto Fernández,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
->,Q21856274,Carlos Américo Selva,Q15120034->Q64590596,Renewal Front->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
+++,,Carlos Aníbal Cisneros,Q64590596,Frente de Todos,Q44829,Tucumán,2019-12-10,
---,Q5041910,Carlos Castagneto,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,
---,Q21856264,Carlos Gastón Roma,Q1507720,Republican Proposal,Q44832,"Tierra del Fuego, Antarctica and South Atlantic Islands province",2015-12-10,
+++,Q107746592,Carlos Mario Gutiérrez,Q62062803,Córdoba Federal,Q44759,Córdoba,2019-12-10,
+++,,Carlos Ramiro Gutiérrez,Q64590596,Frente de Todos,Q44754,Buenos Aires,2019-12-10,
+++,Q108165085,Carlos Raúl Zapata,Q108276589,Ahora Patria,Q44803,Salta,2021-12-10,
+++,Q5042165,Carlos Salomón Heller,Q64590596,Frente de Todos,Q1486,Ciudad de Buenos Aires,2021-12-10,
+++,,Carlos Ybrhain Ponce,Q64590596,Frente de Todos,Q44818,San Luis,2019-12-10,
---,Q47142563,Carmen Polledo,Q42116847,Vamos Juntos,Q1486,Buenos Aires,2017-12-10,
+++,Q98470534,Carolina Píparo,Q105099519,Avanza Libertad,Q44754,Buenos Aires,2021-12-10,
->,Q107646264,Carolina Yutrovic->Inés Carolina Yutrovic,NULL->Q64590596,NULL->Frente de Todos,NULL->Q44832,NULL->Tierra del Fuego,2019-12-19->2021-12-10,
->,Q21856214,Cecilia Moreau,Q66987448->Q64590596,Federal Unidos por una Nueva Argentina->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
---,Q16297772,Claudia Alicia Bernazza,Q64590596,Frente de Todos,Q44754,Buenos Aires Province,2020-05-13,
+++,,Claudia Beatriz Ormachea,Q64590596,Frente de Todos,Q44754,Buenos Aires,2019-12-10,
---,Q47143414,Claudia Najul,Q20749344,Cambiemos,Q44797,Mendoza,2017-12-10,
+++,Q4838522,Claudio Javier Poggi,Q64706759,Avanzar San Luis,Q44818,San Luis,2021-12-10,
+++,,Claudio Orlando Vidal,Q110097833,SER-Somos Energía para Renovar,Q44821,Santa Cruz,2021-12-10,
+++,Q110459291,Constanza María Alonso,Q64590596,Frente de Todos,Q44754,Buenos Aires,2021-12-10,
---,Q18224934,Cornelia Schmidt-Liermann,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,
+++,Q15714675,Cristian Adrián Ritondo,Q1507720,PRO,Q44754,Buenos Aires,2019-12-10,
+++,Q110104134,Daniel Agustín Brué,Q64590596,Frente de Todos,Q44827,Santiago del Estero,2019-12-10,
---,Q68057058,Daniel Arroyo,,,,,2021-12-10,
---,Q21856116,Daniel Di Stefano,Q1072438,Front for Victory,Q44798,Misiones Province,2015-12-10,
->,Q47117980->Q68057058,Daniel Fernando Arroyo,Q15120034->Q64590596,Renewal Front->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
---,Q5217139,Daniel Filmus,Q47114897,Unidad Porteña,Q1486,Buenos Aires,2017-12-10,
->,Q19521806,Daniel Gollán,NULL->Q64590596,NULL->Frente de Todos,NULL->Q44754,NULL->Buenos Aires,2021-12-10,
+++,Q104901318,Daniel Julio Ferreyra,Q64590596,Frente de Todos,Q44764,Jujuy,2019-12-10,
---,Q21856170,Daniel Ricardo Kroneberger,Q123585,Radical Civic Union,Q44795,La Pampa,2015-12-10,2021-12-10
---,Q47143393,Danilo Adrián Flores,Q47146729,,Q44796,La Rioja Province,2017-12-10,
->,Q108299590,Dante López Rodríguez->Dante Edgardo López Rodríguez,Q64590596,Frente de Todos,Q44756,Catamarca Province->Catamarca,2019-12-19->2021-12-10,
+++,,Danya Tavela,Q123585,Evolución Radical,Q44754,Buenos Aires,2021-12-10,
---,Q63863578,Darío Martínez,Q1072438,Front for Victory,Q44800,Neuquén Province,2016-03-01,
---,Q47144830,David Pablo Schlereth,Q20749344,Cambiemos,Q44800,Neuquén Province,2017-12-10,
---,Q5274589,Diego Bossio,Q1053668,Justicialist Party,Q44754,Buenos Aires Province,2015-12-10,
+++,Q5274808,Diego César Santilli,Q1507720,PRO,Q44754,Buenos Aires,2021-12-10,
+++,Q106686072,Diego Felipe Álvarez,Q110097833,SER-Somos Energía para Renovar,Q44796,La Rioja,2019-12-10,
---,Q21856194,Diego Matías Mestre,Q20749344,Cambiemos,Q44759,Córdoba Province,2017-12-10,
->,Q110219598,Diego Sartori->Diego Horacio Sartori,NULL->Q5505872,NULL->Frente de la Concordia Misionero,Q44798,Misiones Province->Misiones,2019-12-10,
+++,Q104419733,Dina Esther Rezinovsky,Q1507720,PRO,Q1486,Ciudad de Buenos Aires,2019-12-10,
+++,,Domingo Luis Amaya,Q1507720,Encuentro Federal,Q44829,Tucumán,2019-12-10,
+++,,Eber Albano Pérez Plaza,Q64590596,Frente de Todos,Q44797,Mendoza,2021-03-27,
---,Q19897814,Eduardo  Cáceres,Q47146427,,Q44805,San Juan Province,2017-12-10,
---,Q5818962,Eduardo Amadeo,Q1507720,Republican Proposal,Q44754,Buenos Aires Province,2015-12-10,
---,Q47142127,Eduardo Bucca,Q3753652,Justicialist Front,Q44754,Buenos Aires Province,2017-12-10,
---,Q47142127,Eduardo Bucca,,,Q44754,Buenos Aires Province,2017-12-10,
->,Q108425883,Eduardo Gabriel Fernández,Q64590596,Frente de Todos,Q44759,Córdoba Province->Córdoba,2019-12-10,
+++,Q28065679,Eduardo Toniolli,Q64590596,Frente de Todos,Q44823,Santa Fe,2021-12-10,
->,Q22329411,Eduardo Valdés->Eduardo Félix Valdés,Q64590596,Frente de Todos,Q1486,Buenos Aires->Ciudad de Buenos Aires,2019-12-10,
---,Q47142443,Elda Pértile,Q47145682,,Q44757,Chaco Province,2017-12-10,
---,Q270025,Elisa Carrió,Q42116847,Vamos Juntos,Q1486,Buenos Aires,2017-12-10,
+++,Q85119056,Emiliano Benjamín Yacobitti,Q123585,Unión Cívica Radical,Q1486,Ciudad de Buenos Aires,2019-12-10,
+++,Q104234791,Emiliano Estrada,Q64590596,Frente de Todos,Q44803,Salta,2021-12-10,
->,Q21614815,Emilio Monzó,NULL->Q64590412,NULL->Encuentro Federal,Q44754,Buenos Aires Province->Buenos Aires,2021-12-10,
+++,Q107736916,Enrique Eloy Estévez,Q1813766,Socialista,Q44823,Santa Fe,2019-12-10,
+++,,Estela Beatriz Hernández,Q64590596,Frente de Todos,Q45007,Chubut,2019-12-10,
->,Q55773927,Estela Mary Neder->Estela Mary Del Rosario Neder,NULL->Q64590596,NULL->Frente de Todos,NULL->Q44827,NULL->Santiago del Estero,2017-11-22->2019-12-10,
---,Q47142758,Estela Mercedes Regidor Belledone,Q47146931,,Q44758,Corrientes,2017-12-10,
---,Q47142057,Ezequiel Fernández Langan,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
->,Q47141966,Fabio José Quetglas,Q20749344->Q123585,Cambiemos->Unión Cívica Radical,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
+++,,Fabián Antonio Borda,Q64590596,Frente de Todos,Q44758,Corrientes,2021-12-16,
---,Q20644683,Facundo Garretón,Q1507720,Republican Proposal,Q44829,Tucumán Province,2015-12-10,
+++,Q16301016,Facundo Manes,Q123585,Unión Cívica Radical,Q44754,Buenos Aires,2021-12-10,
---,Q16566094,Facundo Moyano,Q15120034,Renewal Front,Q44754,Buenos Aires Province,2015-12-10,
---,Q5855240,Facundo Suárez Lastra,Q42116847,Vamos Juntos,Q1486,Buenos Aires,2017-12-10,
+++,Q110727342,Federico Angelini,Q1507720,PRO,Q44823,Santa Fe,2019-12-10,
+++,Q96625184,Federico Fagioli,Q64590596,Frente de Todos,Q44754,Buenos Aires,2019-12-19,
->,Q108028101,Federico Frigerio,NULL->Q1507720,NULL->PRO,NULL->Q44832,NULL->Tierra del Fuego,2019-12-10,
---,Q47143430,Federico Raúl Zamarbide,Q20749344,Cambiemos,Q44797,Mendoza,2017-12-10,
---,Q1403237,Felipe Solá,Q34692011,1País,Q44754,Buenos Aires Province,2017-12-10,
---,Q34207613,Fernanda Vallejos,Q30841057,Citizen's Unity,Q44754,Buenos Aires Province,2017-12-10,
+++,,Fernando Carbajal,Q123585,Unión Cívica Radical,Q44761,Formosa,2021-12-10,
->,Q5859724,Fernando Iglesias->Fernando Adolfo Iglesias,Q42116847->Q1507720,Vamos Juntos->PRO,Q1486,Buenos Aires->Ciudad de Buenos Aires,2017-12-10->2021-12-10,
---,Q47144819,Flavia Morales,Q5505872,Party of Social Concord,Q44798,Misiones Province,2017-12-10,
+++,,Florencia Lampreabe,Q64590596,Frente de Todos,Q44754,Buenos Aires,2019-12-10,
+++,,Florencia Naiara Klipauka Lewtak,Q1507720,PRO,Q44798,Misiones,2021-12-10,
->,Q963100,Florencio Randazzo->Aníbal Florencio Randazzo,NULL->Q107605736,NULL->Identidad Bonaerense,Q44754,Buenos Aires Province->Buenos Aires,2021-12-10,
---,Q21856141,Francisco Abel Furlán,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,
---,Q108101212,Francisco Guevara,,,,,2019-12-19,2021-12-10
+++,,Francisco Manuel Monti,Q123585,Unión Cívica Radical,Q44756,Catamarca,2021-12-10,
+++,,Francisco Sánchez,Q1507720,PRO,Q44800,Neuquén,2019-12-10,
---,Q47142696,Gabriel Alberto Frizza,Q20749344,Cambiemos,Q44759,Córdoba Province,2017-12-10,
+++,,Gabriel Felipe Chumpitaz,Q1507720,PRO,Q44823,Santa Fe,2021-12-10,
->,Q110249925,Gabriela Brouwer de Koning,Q64590412->Q123585,Juntos por el Cambio->Evolución Radical,Q44759,Córdoba Province->Córdoba,2021-12-10,
---,Q5495211,Gabriela Cerruti,Q47114897,Unidad Porteña,Q1486,Buenos Aires,2017-12-10,
->,Q107719053,Gabriela Estévez->Gabriela Beatriz Estévez,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q44759,Córdoba Province->Córdoba,2015-12-10->2019-12-10,
+++,,Gabriela Gisel Besana,Q1507720,PRO,Q44754,Buenos Aires,2021-12-10,
+++,,Gabriela Mabel Lena,Q123585,Unión Cívica Radical,Q44762,Entre Ríos,2019-12-10,
+++,,Gabriela Pedrali,Q64590596,Frente de Todos,Q44796,La Rioja,2021-12-10,
+++,,Gerardo Cipolini,Q123585,Unión Cívica Radical,Q44757,Chaco,2019-12-10,
+++,Q5878337,Gerardo Milman,Q1507720,PRO,Q44754,Buenos Aires,2021-12-10,
+++,,Germana María Figueroa Casas,Q1507720,PRO,Q44823,Santa Fe,2021-12-10,
+++,,Germán Pedro Martínez,Q64590596,Frente de Todos,Q44823,Santa Fe,2019-12-10,
->,Q48216423,Gisela Marziotta,NULL->Q64590596,NULL->Frente de Todos,Q1486,Buenos Aires->Ciudad de Buenos Aires,2020-01-29->2021-12-10,
---,Q21856272,Gisela Scaglia,Q20749344,Cambiemos,Q44823,Santa Fe Province,2017-12-10,
---,Q47145361,Gonzalo Pedro Antonio del Cerro,Q20749344,Cambiemos,Q44823,Santa Fe Province,2017-12-10,
->,Q5883959,Graciela Camaño,Q15120034->Q107605736,Renewal Front->Identidad Bonaerense,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
---,Q21856086,Graciela Caselles,Q6156958,Partido Bloquista,Q44805,San Juan Province,2015-12-10,
+++,,Graciela María Caselles,Q64590596,Frente de Todos,Q44805,San Juan,2019-12-10,
->,Q21856217,Graciela Navarro,Q3088428->Q64590596,Civic Front for Santiago->Frente de Todos,Q44827,Santiago del Estero Province->Santiago del Estero,2015-12-10->2019-12-10,
->,Q5591576,Graciela Ocaña->María Graciela Ocaña,Q20749344->Q1507720,Cambiemos->PRO,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
+++,,Guillermo Oscar Carnaghi,Q64590596,Frente de Todos,Q44800,Neuquén,2020-09-24,
---,Q21856065,Guillermo Ramón Carmona,Q1072438,Front for Victory,Q44797,Mendoza,2015-12-10,
---,Q47118651,Guillermo Tristan Montenegro,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
---,Q47142407,Gustavo Arturo Saadi,Q1072438,Front for Victory,Q44756,Catamarca Province,2017-12-10,
+++,,Gustavo Bouhid,Q123585,Unión Cívica Radical,Q44764,Jujuy,2021-12-10,
+++,,Gustavo Carlos Miguel González,Q64590596,Frente de Todos,Q44821,Santa Cruz,2021-12-16,
---,Q5889685,Gustavo José Bevilacqua,Q15120034,Renewal Front,Q44754,Buenos Aires Province,2015-12-10,
---,Q47142461,Gustavo Menna,Q20749344,Cambiemos,Q45007,Chubut Province,2017-12-10,
+++,,Gustavo Ramiro Fernández Patri,Q64590596,Frente de Todos,Q44761,Formosa,2021-12-10,
+++,Q104414846,Gustavo René Hein,Q1507720,PRO,Q44762,Entre Ríos,2019-12-10,
+++,Q21601187,Gustavo Santos,Q1507720,PRO,Q44759,Córdoba,2021-12-10,
---,Q47455152,Hector Antonio Stefani,,,,,2017-12-09,
---,Q47142046,Hernán Berisso,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
->,Q5896197,Hernán Lombardi,NULL->Q1507720,NULL->PRO,Q44754,Buenos Aires Province->Buenos Aires,2021-12-10,
+++,,Hernán Pérez Araujo,Q64590596,Frente de Todos,Q44795,La Pampa,2019-12-10,
+++,Q18711912,Hilda Clelia Aguirre de Soria,Q64590596,Frente de Todos,Q44796,La Rioja,2019-12-10,
---,Q21856147,Horacio Goicoechea,Q123585,Radical Civic Union,Q44757,Chaco Province,2015-12-10,
---,Q5901967,Horacio Pietragalla Corti,Q30841057,Citizen's Unity,Q44754,Buenos Aires Province,2017-12-10,
---,Q21856181,Hugo María Marcucci,Q123585,Radical Civic Union,Q44823,Santa Fe Province,2015-12-10,
->,Q11682640,Hugo Yasky->Hugo Rubén Yasky,Q30841057->Q64590596,Citizen's Unity->Frente de Todos,Q44754,Buenos Aires Province->Buenos Aires,2017-12-10->2021-12-10,
+++,Q62000019,Humberto Marcelo Orrego,Q4732307,Producción y Trabajo,Q44805,San Juan,2019-12-10,
+++,,Héctor Antonio Stefani,Q1507720,PRO,Q44832,Tierra del Fuego,2021-12-10,
->,Q312505,Héctor Baldassi->Héctor Walter Baldassi,Q20749344->Q1507720,Cambiemos->PRO,Q44759,Córdoba Province->Córdoba,2017-12-10->2021-12-10,
---,Q17634375,Héctor Flores,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,2021-12-10
+++,,Héctor Orlando Bárbaro,Q64590596,Frente de Todos,Q44798,Misiones,2019-12-10,
---,Q104433320,Ignacio Agustín Torres,Q1507720,Republican Proposal,Q45007,Chubut Province,2019-12-10,2021-12-10
+++,,Ignacio Jorge García Aresca,Q62062803,Córdoba Federal,Q44759,Córdoba,2021-12-10,
+++,,Ingrid Jetter,Q1507720,PRO,Q44758,Corrientes,2019-12-10,
---,Q21856178,Inés Beatriz Lotto de Vecchietti,Q1072438,Front for Victory,Q44761,Formosa Province,2015-12-10,
+++,Q30347207,Itai Hagman,Q64590596,Frente de Todos,Q1486,Ciudad de Buenos Aires,2019-12-10,
---,Q21856058,Ivana María Bianchi,Q5668474,Federal Commitment,Q44818,San Luis Province,2015-12-10,
---,Q47451525,Javier Campos,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
---,Q21480721,Javier David,Q1053668,Justicialist Party,Q44803,Salta Province,2015-12-10,
+++,Q52395487,Javier Gerardo Milei,Q108454548,La Libertad Avanza,Q1486,Ciudad de Buenos Aires,2021-12-10,
+++,,Jimena Hebe Latorre,Q123585,Unión Cívica Radical,Q44797,Mendoza,2019-12-10,
->,Q47142783,Jorge Antonio Romero,NULL->Q64590596,NULL->Frente de Todos,Q44758,Corrientes,2017-12-10->2021-12-10,
---,Q21856139,Jorge Daniel Franco,Q41556499,,Q44798,Misiones Province,2015-12-10,
---,Q47143071,Jorge Enrique Lacoste,Q20749344,Cambiemos,Q44762,Entre Ríos Province,2017-12-10,
+++,,Jorge Guillermo Verón,Q64590596,Frente de Todos,Q44821,Santa Cruz,2021- 2-12,
+++,,Jorge Raúl Rizzotti,Q123585,Unión Cívica Radical,Q44764,Jujuy,2019-12-10,
---,Q55825600,Jorge Ricardo Enriquez,Q20749344,Cambiemos,Q1486,Buenos Aires,2017-12-10,
+++,,Jorge Ricardo Herrera,Q64590596,Frente de Todos,Q44796,La Rioja,2021-12-10,
---,Q21856283,Jorge Taboada,Q26258776,We Are All Chubut,Q45007,Chubut Province,2015-12-10,
+++,,Jorge Vara,Q123585,Unión Cívica Radical,Q44758,Corrientes,2019-12-10,
---,Q47142613,Jose Alejandro Garcia,Q42116847,Vamos Juntos,Q1486,Buenos Aires,2017-12-10,
---,Q16300926,Josefina González,Q3753652,Justicialist Front,Q44823,Santa Fe Province,2017-12-10,
---,Q47142035,Josefina Mendoza,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
---,Q21856269,José Arnaldo Ruiz Aragón,Q64590596,Frente de Todos,Q44758,Corrientes,2015-12-10,
->,Q21856219,José Carlos Núñez,Q1507720,Republican Proposal->PRO,Q44823,Santa Fe Province->Santa Fe,2015-12-10->2019-12-10,
---,Q21856222,José Fernando Orellana,Q41556939,,Q44829,Tucumán Province,2015-12-10,
---,Q5649262,José Ignacio de Mendiguren,Q15120034,Renewal Front,Q44754,Buenos Aires Province,2017-12-10,
+++,Q29019697,José Luis Espert,Q105099519,Avanza Libertad,Q44754,Buenos Aires,2021-12-10,
->,Q4137510,José Luis Gioja,Q1072438->Q64590596,Front for Victory->Frente de Todos,Q44805,San Juan Province->San Juan,2015-12-10->2019-12-10,
---,Q47143208,José Luis Martiarena,Q3753652,Justicialist Front,Q44764,Province of Jujuy,2017-12-10,
---,Q47143468,José Luis Ramón,Q2917600,Intransigent Party,Q44797,Mendoza,2017-12-10,
---,Q21856259,José Luis Riccardo,Q47146969,,Q44818,San Luis Province,2017-12-10,
---,Q5640784,José Manuel Cano,Q47114962,Cambiemos para el Bicentenario,Q44829,Tucumán Province,2017-12-10,
---,Q47142019,Juan Aicega,Q20749344,Cambiemos,Q44754,Buenos Aires Province,2017-12-10,
---,Q47145093,Juan Benedicto Vázquez,Q1072438,Front for Victory,Q44821,Santa Cruz Province,2017-12-10,
---,Q5948039,Juan Cabandié,Q47114897,Unidad Porteña,Q1486,Buenos Aires,2017-12-10,
+++,Q81549870,Juan Carlos Alderete,Q64590596,Frente de Todos,Q44754,Buenos Aires,2019-12-19,
+++,,Juan Carlos Polini,Q123585,Unión Cívica Radical,Q44757,Chaco,2021-12-10,
---,Q21856294,Juan Carlos Villalonga,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,
---,Q20737416,Juan Fernando Brügge,Q21044814,United for a New Alternative,Q44759,Córdoba Province,2015-12-10,
---,Q47143098,Juan José Bahillo,Q47146244,,Q44762,Entre Ríos Province,2017-12-10,
---,Q21856158,Juan Manuel Huss,Q1072438,Front for Victory,Q44762,Entre Ríos Province,2015-12-10,
---,Q47117877,Juan Manuel Lopez,Q42116847,Vamos Juntos,Q1486,Buenos Aires,2017-12-10,
->,Q104214254,Juan Manuel López,NULL->Q1104292,NULL->Coalición Cívica,NULL->Q44754,NULL->Buenos Aires,2017->2021-12-10,
+++,Q21856226,Juan Manuel Pedrini,Q64590596,Frente de Todos,Q44757,Chaco,2021-12-10,
---,Q21856227,Juan Manuel Pereyra,Q5870697,,Q44759,Córdoba Province,2015-12-10,
+++,,Juan Martín,Q123585,Unión Cívica Radical,Q44823,Santa Fe,2019-12-10,
---,Q47142456,Juan Mosqueda,Q47145682,,Q44757,Chaco Province,2017-12-10,
->,Q456351,Julio Cobos->Julio César Cleto Cobos,NULL->Q123585,NULL->Unión Cívica Radical,Q44797,Mendoza,2021-12-10,
---,Q47143377,Julio Enrique Sahad,Q47109114,,Q44796,La Rioja Province,2017-12-10,
->,Q5955633,Julio Pereyra->Julio César Pereyra,NULL->Q64590596,NULL->Frente de Todos,NULL->Q44754,NULL->Buenos Aires,2021-12-10,
---,Q20017012,Julio Solanas,Q1072438,Front for Victory,Q44762,Entre Ríos Province,2015-12-10,
---,Q6309576,Julio de Vido,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,
---,Q21856118,Julián Dindart,Q123585,Radical Civic Union,Q44758,Corrientes,2015-12-10,
---,Q47145056,Karim Augusto Alume Sbodio,Q47146278,,Q44818,San Luis Province,2017-12-10,
---,Q21856211,Karina Alejandra Molina,Q1507720,Republican Proposal,Q44796,La Rioja Province,2015-12-10,
->,Q21856053,Karina Banfi->Karina Verónica Banfi,Q123585,Radical Civic Union->Unión Cívica Radical,Q44754,Buenos Aires Province->Buenos Aires,2015-12-10->2019-12-10,
+++,,Karina Ethel Bachey,Q1507720,PRO,Q44818,San Luis,2021-12-10,
+++,,Laura Carolina Castets,Q1104292,Coalición Cívica,Q44823,Santa Fe,2019-12-10,
+++,Q23807442,Laura Elena Rodríguez Machado,Q1507720,PRO,Q44759,Córdoba,2021-12-10,
---,Q47142397,Laura Russo,Q30841057,Citizen's Unity,Q44754,Buenos Aires Province,2017-12-10,
---,Q47142307,Laura Valeria Alonso,Q30841057,Citizen's Unity,Q44754,Buenos Aires Province,2017-12-10,
---,Q21856176,Leandro López Koenig,Q1507720,Republican Proposal,Q44800,Neuquén Province,2015-12-10,
