@@,item,name,party,partylabel,region,regionlabel,startdate,enddate
+++,Q18711856,Adolfo Bermejo,Q64590596,Frente de Todos,Q44797,Mendoza,2021-12-10,
---,Q21856218,Adriana Mónica Nazario,Q21044814,United for a New Alternative,Q44759,Córdoba Province,2015-12-10,
+++,,Adriana Noemí Ruarte,Q1507720,PRO,Q44759,Córdoba,2019-12-10,
---,Q21856149,Adrián Eduardo Grana,Q1072438,Front for Victory,Q44754,Buenos Aires Province,2015-12-10,
+++,,Agustina Lucrecia Propato,Q64590596,Frente de Todos,Q44754,Buenos Aires,2021-12-10,
+++,,Agustín Domingo,Q25405448,Juntos Somos Río Negro,Q44802,Río Negro,2021-12-10,
+++,,Agustín Fernández,Q64590596,Frente de Todos,Q44829,Tucumán,2021-12-10,
---,Q19006869,Agustín Rossi,Q3753652,Justicialist Front,Q44823,Santa Fe Province,2017-12-10,
---,Q20667914,Alberto Ciampini,Q1072438,Front for Victory,Q44800,Neuquén Province,2015-12-10,
+++,Q87726411,Alberto Emilio Asseff,Q1507720,PRO,Q44754,Buenos Aires,2019-12-10,
---,Q23411111,Albor Cantard,Q20749344,Cambiemos,Q44823,Santa Fe Province,2017-12-10,
+++,Q108305550,Aldo Adolfo Leiva,Q64590596,Frente de Todos,Q44757,Chaco,2019-12-10,
---,Q47142712,Alejandra María Vigo,Q4732336,Union for Córdoba,Q44759,Córdoba Province,2017-12-10,2021-12-10
---,Q33296854,Alejandra Rodenas,Q3753652,Justicialist Front,Q44823,Santa Fe Province,2017-12-10,
+++,,Alejandra del Huerto Obeid,Q64590596,Frente de Todos,Q44823,Santa Fe,2019-12-10,
---,Q21856150,Alejandro Ariel Grandinetti,Q15120034,Renewal Front,Q44823,Santa Fe Province,2015-12-10,
+++,Q104906639,Alejandro Cacace,Q123585,Unión Cívica Radical,Q44818,San Luis,2019-12-10,
---,Q21856122,Alejandro Echegaray,Q123585,Radical Civic Union,Q44754,Buenos Aires Province,2015-12-10,
->,Q30905503,Alejandro Finocchiaro,NULL->Q1507720,NULL->PRO,NULL->Q44754,NULL->Buenos Aires,2021-12-10,
---,Q21856277,Alejandro Francisco Snopek,Q15120034,Renewal Front,Q44764,Province of Jujuy,2015-12-10,
---,Q5665422,Alejandro Ramos,Q1072438,Front for Victory,Q44823,Santa Fe Province,2015-12-10,
->,Q62118467,Alejandro Vilca->Alejandro Ariel Vilca,NULL->Q598744,NULL->Frente de Izquierda,Q44764,Province of Jujuy->Jujuy,2021-12-10,
+++,Q98770550,Alejandro «Topo» Rodríguez,Q107605736,Identidad Bonaerense,Q44754,Buenos Aires,2019-12-10,
---,Q5668101,Alfredo Cornejo,,,Q44797,Mendoza,2019-12-10,2021-12-10
---,Q20012995,Alfredo Olmedo,Q41556881,,Q44803,Salta Province,2015-12-10,
+++,,Alfredo Oscar Schiavoni,Q1507720,PRO,Q44798,Misiones,2019-12-10,
---,Q47143052,Alicia Fregonese,Q20749344,Cambiemos,Q44762,Entre Ríos Province,2017-12-10,
+++,Q76824320,Alicia Noemí Aparicio,Q64590596,Frente de Todos,Q44754,Buenos Aires,2019-12-10,
---,Q5668850,Alicia Terada,Q47117734,Alianza Cambiemos,Q44757,Chaco Province,2017-12-10,
->,Q47144879->Q30243948,Alma Sapag->Rolando Figueroa,Q7002024,Neuquén People's Movement->Movimiento Popular Neuquino,Q44800,Neuquén Province->Neuquén,2017-12-10->2021-12-10,
+++,Q21856142,Ana Carolina Gaillard,Q64590596,Frente de Todos,Q44762,Entre Ríos,2021-12-10,
+++,,Ana Clara Romero,Q1507720,PRO,Q45007,Chubut,2021-12-10,
+++,,Ana Fabiola Aubone,Q64590596,Frente de Todos,Q44805,San Juan,2021-12-10,
---,Q21856175,Ana Llanos,Q1072438,Front for Victory,Q45007,Chubut Province,2015-12-10,
---,Q21856157,Anabella Ruth Hers Cabral,Q1507720,Republican Proposal,Q1486,Buenos Aires,2015-12-10,
+++,,Anahí Costa,Q64590596,Frente de Todos,Q44756,Catamarca,2021-12-16,
---,Q21856066,Analuz Ailen Carol,Q1072438,Front for Victory,Q44832,"Tierra del Fuego, Antarctica and South Atlantic Islands province",2015-12-10,
---,Q47455149,Andres Alberto Vallone,,,,,2017-12-09,
---,Q5667299,Andrés Larroque,Q1072438,Front for Victory,Q1486,Buenos Aires,2015-12-10,
---,Q19601030,Andrés Zottos,Q47146828,,Q44803,Salta Province,2017-12-10,
---,Q47145158,Antonio José Carambia,Q47109540,,Q44821,Santa Cruz Province,2017-12-10,
+++,,Aníbal Tortoriello,Q1507720,PRO,Q44802,Río Negro,2021-12-10,
---,Q47143222,Ariel Rauschenberger,Q1053668,Justicialist Party,Q44795,La Pampa,2017-12-10,
---,Q47455151,Astrid Hummel,,,Q44823,Santa Fe Province,2017-12-10,
---,Q41776986,Atilio Francisco Salvador Benedetti,Q20749344,Cambiemos,Q44762,Entre Ríos Province,2017-12-10,
---,Q5715314,Aída Beatríz Máxima Ayala,Q47117734,Alianza Cambiemos,Q44757,Chaco Province,2017-12-10,
---,Q47145509,Beatriz Luisa Ávila,Q47114962,Cambiemos para el Bicentenario,Q44829,Tucumán Province,2017-12-10,2021-12-10
+++,Q111424753,Bernardo José Herrera,Q64590596,Frente de Todos,Q44827,Santiago del Estero,2021-12-10,
