province,provinceLabel,governor,governorLabel,start
Q44754,Buenos Aires,Q3754443,Axel Kicillof,2019-12-10
Q44756,Catamarca,Q19760254,Raúl Jalil,2019-12-10
Q44757,Chaco,Q4837917,Jorge Capitanich,2019-12-10
Q45007,Chubut,Q42451221,Mariano Arcioni,2017-11-01
Q44759,Córdoba,Q1710644,Juan Schiaretti,2015-12-10
Q44758,Corrientes,Q21856293,Gustavo Valdés,2017-12-10
Q44762,Entre Ríos,Q21105472,Gustavo Bordet,2015-12-10
Q44761,Formosa,Q1524240,Gildo Insfrán,1995-12-10
Q44764,Jujuy,Q5483783,Gerardo Morales,2015-12-10
Q44795,La Pampa,Q21856301,Sergio Ziliotto,2019-12-10
Q44796,La Rioja,Q72707787,Ricardo Quintela,2019-12-10
Q44797,Mendoza,Q29121872,Rodolfo Suárez,2019-12-10
Q44798,Misiones,Q21279728,Oscar Herrera Ahuad,2019-12-10
Q44800,Neuquén,Q20016443,Omar Gutiérrez,2015-12-10
Q44802,Río Negro,Q63119899,Arabela Carreras,2019-12-10
Q44803,Salta,Q21002940,Gustavo Sáenz,2019-12-10
Q44805,San Juan,Q20735856,Sergio Uñac,2015-12-10
Q44818,San Luis,Q4712180,Alberto Rodríguez Saá,2015-12-10
Q44821,Santa Cruz,Q440580,Alicia Kirchner,2015-12-10
Q44823,Santa Fe,Q20015616,Omar Perotti,2019-12-11
Q44827,Santiago del Estero,Q4838698,Gerardo Zamora,2017-12-10
Q44832,Tierra del Fuego,Q64686950,Gustavo Melella,2019-12-17
Q44829,Tucumán,Q6300262,Juan Luis Manzur,2015-10-29
Q1486,Autonomous Cityof Buenos Aires,Q2843714,Horacio Rodríguez Larreta,2015-12-10
